n,c,s,trial
1000,249500,1500,1
2000,999000,3000,1
3000,2248500,4499,1
4000,3998000,6000,1
5000,6247500,7500,1
6000,8997000,9000,1
7000,12246500,10500,1
8000,15996000,11999,1
9000,20245500,13500,1
10000,24995000,15000,1
11000,30244500,16500,1
12000,35994000,18000,1
13000,42243500,19500,1
14000,48993000,21000,1
15000,56242500,22499,1
16000,63992000,24000,1
17000,72241500,25499,1
18000,80991000,27000,1
19000,90240500,28500,1
20000,99990000,30000,1
21000,110239500,31499,1
22000,120989000,33000,1
23000,132238500,34500,1
24000,143988000,36000,1
25000,156237500,37500,1
26000,168987000,38999,1
27000,182236500,40500,1
28000,195986000,42000,1
29000,210235500,43499,1
30000,224985000,45000,1
31000,240234500,46500,1
32000,255984000,47999,1
33000,272233500,49500,1
34000,288983000,50999,1
35000,306232500,52500,1
36000,323982000,54000,1
37000,342231500,55500,1
38000,360981000,57000,1
39000,380230500,58500,1
40000,399980000,59999,1
41000,420229500,61499,1
42000,440979000,62999,1
43000,462228500,64499,1
44000,483978000,65999,1
45000,506227500,67499,1
46000,528977000,69000,1
47000,552226500,70500,1
48000,575976000,71999,1
49000,600225500,73500,1
50000,624975000,75000,1
1000,249500,1500,2
2000,999000,2999,2
3000,2248500,4500,2
4000,3998000,6000,2
5000,6247500,7500,2
6000,8997000,9000,2
7000,12246500,10500,2
8000,15996000,12000,2
9000,20245500,13499,2
10000,24995000,15000,2
11000,30244500,16500,2
12000,35994000,17999,2
13000,42243500,19500,2
14000,48993000,21000,2
15000,56242500,22499,2
16000,63992000,24000,2
17000,72241500,25500,2
18000,80991000,27000,2
19000,90240500,28499,2
20000,99990000,29999,2
21000,110239500,31500,2
22000,120989000,33000,2
23000,132238500,34499,2
24000,143988000,36000,2
25000,156237500,37498,2
26000,168987000,38999,2
27000,182236500,40500,2
28000,195986000,42000,2
29000,210235500,43500,2
30000,224985000,45000,2
31000,240234500,46500,2
32000,255984000,48000,2
33000,272233500,49500,2
34000,288983000,51000,2
35000,306232500,52500,2
36000,323982000,54000,2
37000,342231500,55500,2
38000,360981000,57000,2
39000,380230500,58498,2
40000,399980000,60000,2
41000,420229500,61500,2
42000,440979000,62999,2
43000,462228500,64500,2
44000,483978000,66000,2
45000,506227500,67500,2
46000,528977000,69000,2
47000,552226500,70500,2
48000,575976000,72000,2
49000,600225500,73499,2
50000,624975000,75000,2
1000,249500,1500,3
2000,999000,2999,3
3000,2248500,4499,3
4000,3998000,6000,3
5000,6247500,7499,3
6000,8997000,8999,3
7000,12246500,10500,3
8000,15996000,12000,3
9000,20245500,13500,3
10000,24995000,15000,3
11000,30244500,16500,3
12000,35994000,17999,3
13000,42243500,19500,3
14000,48993000,21000,3
15000,56242500,22500,3
16000,63992000,23999,3
17000,72241500,25500,3
18000,80991000,27000,3
19000,90240500,28500,3
20000,99990000,29999,3
21000,110239500,31500,3
22000,120989000,33000,3
23000,132238500,34500,3
24000,143988000,35999,3
25000,156237500,37500,3
26000,168987000,39000,3
27000,182236500,40500,3
28000,195986000,42000,3
29000,210235500,43500,3
30000,224985000,45000,3
31000,240234500,46500,3
32000,255984000,48000,3
33000,272233500,49500,3
34000,288983000,50999,3
35000,306232500,52500,3
36000,323982000,54000,3
37000,342231500,55500,3
38000,360981000,56999,3
39000,380230500,58499,3
40000,399980000,60000,3
41000,420229500,61500,3
42000,440979000,63000,3
43000,462228500,64500,3
44000,483978000,65999,3
45000,506227500,67500,3
46000,528977000,69000,3
47000,552226500,70500,3
48000,575976000,72000,3
49000,600225500,73499,3
50000,624975000,75000,3
1000,249500,1500,4
2000,999000,3000,4
3000,2248500,4500,4
4000,3998000,6000,4
5000,6247500,7499,4
6000,8997000,8999,4
7000,12246500,10499,4
8000,15996000,12000,4
9000,20245500,13500,4
10000,24995000,14999,4
11000,30244500,16500,4
12000,35994000,17998,4
13000,42243500,19500,4
14000,48993000,21000,4
15000,56242500,22499,4
16000,63992000,23999,4
17000,72241500,25500,4
18000,80991000,27000,4
19000,90240500,28500,4
20000,99990000,29999,4
21000,110239500,31500,4
22000,120989000,33000,4
23000,132238500,34499,4
24000,143988000,36000,4
25000,156237500,37500,4
26000,168987000,39000,4
27000,182236500,40500,4
28000,195986000,42000,4
29000,210235500,43499,4
30000,224985000,45000,4
31000,240234500,46500,4
32000,255984000,48000,4
33000,272233500,49499,4
34000,288983000,51000,4
35000,306232500,52500,4
36000,323982000,54000,4
37000,342231500,55499,4
38000,360981000,57000,4
39000,380230500,58500,4
40000,399980000,60000,4
41000,420229500,61500,4
42000,440979000,63000,4
43000,462228500,64500,4
44000,483978000,66000,4
45000,506227500,67499,4
46000,528977000,68999,4
47000,552226500,70499,4
48000,575976000,72000,4
49000,600225500,73499,4
50000,624975000,74999,4
1000,249500,1500,5
2000,999000,3000,5
3000,2248500,4499,5
4000,3998000,6000,5
5000,6247500,7500,5
6000,8997000,9000,5
7000,12246500,10500,5
8000,15996000,11999,5
9000,20245500,13500,5
10000,24995000,15000,5
11000,30244500,16500,5
12000,35994000,17999,5
13000,42243500,19500,5
14000,48993000,21000,5
15000,56242500,22499,5
16000,63992000,23999,5
17000,72241500,25500,5
18000,80991000,27000,5
19000,90240500,28500,5
20000,99990000,30000,5
21000,110239500,31499,5
22000,120989000,33000,5
23000,132238500,34500,5
24000,143988000,36000,5
25000,156237500,37500,5
26000,168987000,38999,5
27000,182236500,40500,5
28000,195986000,42000,5
29000,210235500,43500,5
30000,224985000,45000,5
31000,240234500,46500,5
32000,255984000,48000,5
33000,272233500,49499,5
34000,288983000,51000,5
35000,306232500,52500,5
36000,323982000,54000,5
37000,342231500,55500,5
38000,360981000,57000,5
39000,380230500,58499,5
40000,399980000,60000,5
41000,420229500,61500,5
42000,440979000,63000,5
43000,462228500,64500,5
44000,483978000,66000,5
45000,506227500,67500,5
46000,528977000,69000,5
47000,552226500,70500,5
48000,575976000,71999,5
49000,600225500,73500,5
50000,624975000,75000,5
1000,249500,1500,6
2000,999000,2999,6
3000,2248500,4500,6
4000,3998000,6000,6
5000,6247500,7500,6
6000,8997000,8999,6
7000,12246500,10500,6
8000,15996000,11999,6
9000,20245500,13500,6
10000,24995000,15000,6
11000,30244500,16500,6
12000,35994000,18000,6
13000,42243500,19499,6
14000,48993000,21000,6
15000,56242500,22500,6
16000,63992000,24000,6
17000,72241500,25499,6
18000,80991000,27000,6
19000,90240500,28500,6
20000,99990000,30000,6
21000,110239500,31499,6
22000,120989000,33000,6
23000,132238500,34500,6
24000,143988000,36000,6
25000,156237500,37500,6
26000,168987000,39000,6
27000,182236500,40500,6
28000,195986000,42000,6
29000,210235500,43500,6
30000,224985000,45000,6
31000,240234500,46500,6
32000,255984000,47999,6
33000,272233500,49500,6
34000,288983000,50999,6
35000,306232500,52499,6
36000,323982000,54000,6
37000,342231500,55500,6
38000,360981000,57000,6
39000,380230500,58500,6
40000,399980000,59999,6
41000,420229500,61500,6
42000,440979000,63000,6
43000,462228500,64500,6
44000,483978000,66000,6
45000,506227500,67500,6
46000,528977000,69000,6
47000,552226500,70500,6
48000,575976000,72000,6
49000,600225500,73500,6
50000,624975000,75000,6
1000,249500,1500,7
2000,999000,3000,7
3000,2248500,4500,7
4000,3998000,5999,7
5000,6247500,7500,7
6000,8997000,8999,7
7000,12246500,10499,7
8000,15996000,12000,7
9000,20245500,13500,7
10000,24995000,14999,7
11000,30244500,16500,7
12000,35994000,18000,7
13000,42243500,19499,7
14000,48993000,21000,7
15000,56242500,22500,7
16000,63992000,23999,7
17000,72241500,25500,7
18000,80991000,27000,7
19000,90240500,28500,7
20000,99990000,30000,7
21000,110239500,31500,7
22000,120989000,33000,7
23000,132238500,34500,7
24000,143988000,36000,7
25000,156237500,37500,7
26000,168987000,39000,7
27000,182236500,40500,7
28000,195986000,42000,7
29000,210235500,43500,7
30000,224985000,44999,7
31000,240234500,46500,7
32000,255984000,47999,7
33000,272233500,49499,7
34000,288983000,51000,7
35000,306232500,52499,7
36000,323982000,54000,7
37000,342231500,55500,7
38000,360981000,57000,7
39000,380230500,58500,7
40000,399980000,60000,7
41000,420229500,61500,7
42000,440979000,63000,7
43000,462228500,64500,7
44000,483978000,66000,7
45000,506227500,67500,7
46000,528977000,69000,7
47000,552226500,70500,7
48000,575976000,72000,7
49000,600225500,73499,7
50000,624975000,75000,7
1000,249500,1499,8
2000,999000,3000,8
3000,2248500,4500,8
4000,3998000,6000,8
5000,6247500,7500,8
6000,8997000,9000,8
7000,12246500,10499,8
8000,15996000,11999,8
9000,20245500,13500,8
10000,24995000,15000,8
11000,30244500,16499,8
12000,35994000,18000,8
13000,42243500,19500,8
14000,48993000,21000,8
15000,56242500,22500,8
16000,63992000,24000,8
17000,72241500,25500,8
18000,80991000,27000,8
19000,90240500,28499,8
20000,99990000,30000,8
21000,110239500,31499,8
22000,120989000,33000,8
23000,132238500,34500,8
24000,143988000,36000,8
25000,156237500,37500,8
26000,168987000,39000,8
27000,182236500,40500,8
28000,195986000,42000,8
29000,210235500,43499,8
30000,224985000,45000,8
31000,240234500,46500,8
32000,255984000,47999,8
33000,272233500,49500,8
34000,288983000,51000,8
35000,306232500,52500,8
36000,323982000,54000,8
37000,342231500,55499,8
38000,360981000,56999,8
39000,380230500,58500,8
40000,399980000,60000,8
41000,420229500,61500,8
42000,440979000,63000,8
43000,462228500,64500,8
44000,483978000,66000,8
45000,506227500,67500,8
46000,528977000,68999,8
47000,552226500,70499,8
48000,575976000,72000,8
49000,600225500,73500,8
50000,624975000,75000,8
1000,249500,1500,9
2000,999000,3000,9
3000,2248500,4500,9
4000,3998000,6000,9
5000,6247500,7499,9
6000,8997000,8999,9
7000,12246500,10499,9
8000,15996000,12000,9
9000,20245500,13500,9
10000,24995000,14999,9
11000,30244500,16500,9
12000,35994000,17999,9
13000,42243500,19500,9
14000,48993000,21000,9
15000,56242500,22499,9
16000,63992000,24000,9
17000,72241500,25500,9
18000,80991000,27000,9
19000,90240500,28500,9
20000,99990000,30000,9
21000,110239500,31500,9
22000,120989000,33000,9
23000,132238500,34500,9
24000,143988000,36000,9
25000,156237500,37500,9
26000,168987000,39000,9
27000,182236500,40500,9
28000,195986000,42000,9
