n,c,s,trial
1000,499470,999,1
2000,1998927,1999,1
3000,4498371,2999,1
4000,7997842,3998,1
5000,12497291,4999,1
6000,17996771,5999,1
7000,24496240,6999,1
8000,31995687,7998,1
9000,40495141,8999,1
10000,49994589,9998,1
11000,60494133,10998,1
12000,71993520,11999,1
13000,84493019,12999,1
14000,97992462,13999,1
15000,112491997,14999,1
16000,127991412,15999,1
17000,144490923,16999,1
18000,161990356,17999,1
19000,180489778,18999,1
20000,199989244,19999,1
21000,220488729,20999,1
22000,241988199,21999,1
23000,264487651,22999,1
24000,287987079,23999,1
25000,312486576,24999,1
26000,337985950,25999,1
27000,364485472,26998,1
28000,391984929,27999,1
29000,420484464,28999,1
30000,449983905,29999,1
31000,480483375,30999,1
32000,511982808,31999,1
33000,544482350,32999,1
34000,577981732,33999,1
35000,612481206,34999,1
36000,647980713,35999,1
37000,684480147,36998,1
38000,721979587,37999,1
39000,760479050,38999,1
40000,799978554,39999,1
41000,840477996,40998,1
42000,881977531,41999,1
43000,924476832,42998,1
44000,967976367,43999,1
45000,1012475845,44999,1
46000,1057975252,45999,1
47000,1104474828,46999,1
48000,1151974189,47999,1
49000,1200473678,48999,1
50000,1249973141,49997,1
