n,c,s,trial
1000,5044,5044,1
2000,11088,11088,1
3000,18076,18076,1
4000,24176,24176,1
5000,32004,32004,1
6000,39152,39152,1
7000,46180,46180,1
8000,52352,52352,1
9000,60796,60796,1
10000,69008,69008,1
11000,77012,77012,1
12000,84304,84304,1
13000,92036,92036,1
14000,99360,99360,1
15000,106364,106364,1
16000,112704,112704,1
17000,121188,121188,1
18000,130592,130592,1
19000,139580,139580,1
20000,148016,148016,1
21000,156508,156508,1
22000,165024,165024,1
23000,173052,173052,1
24000,180608,180608,1
25000,188476,188476,1
26000,197072,197072,1
27000,205068,205068,1
28000,212720,212720,1
29000,220044,220044,1
30000,227728,227728,1
31000,234708,234708,1
32000,241408,241408,1
33000,248588,248588,1
34000,259376,259376,1
35000,269364,269364,1
36000,279184,279184,1
37000,288292,288292,1
38000,298160,298160,1
39000,307140,307140,1
40000,316032,316032,1
41000,324084,324084,1
42000,334016,334016,1
43000,342996,342996,1
44000,352048,352048,1
45000,360124,360124,1
46000,369104,369104,1
47000,377212,377212,1
48000,385216,385216,1
49000,392388,392388,1
50000,401952,401952,1
1000,5044,5044,2
2000,11088,11088,2
3000,18076,18076,2
4000,24176,24176,2
5000,32004,32004,2
6000,39152,39152,2
7000,46180,46180,2
8000,52352,52352,2
9000,60796,60796,2
10000,69008,69008,2
11000,77012,77012,2
12000,84304,84304,2
13000,92036,92036,2
14000,99360,99360,2
15000,106364,106364,2
16000,112704,112704,2
17000,121188,121188,2
18000,130592,130592,2
19000,139580,139580,2
20000,148016,148016,2
21000,156508,156508,2
22000,165024,165024,2
23000,173052,173052,2
24000,180608,180608,2
25000,188476,188476,2
26000,197072,197072,2
27000,205068,205068,2
28000,212720,212720,2
29000,220044,220044,2
30000,227728,227728,2
31000,234708,234708,2
32000,241408,241408,2
33000,248588,248588,2
34000,259376,259376,2
35000,269364,269364,2
36000,279184,279184,2
37000,288292,288292,2
38000,298160,298160,2
39000,307140,307140,2
40000,316032,316032,2
41000,324084,324084,2
42000,334016,334016,2
43000,342996,342996,2
44000,352048,352048,2
45000,360124,360124,2
46000,369104,369104,2
47000,377212,377212,2
48000,385216,385216,2
49000,392388,392388,2
50000,401952,401952,2
1000,5044,5044,3
2000,11088,11088,3
3000,18076,18076,3
4000,24176,24176,3
5000,32004,32004,3
6000,39152,39152,3
7000,46180,46180,3
8000,52352,52352,3
9000,60796,60796,3
10000,69008,69008,3
11000,77012,77012,3
12000,84304,84304,3
13000,92036,92036,3
14000,99360,99360,3
15000,106364,106364,3
16000,112704,112704,3
17000,121188,121188,3
18000,130592,130592,3
19000,139580,139580,3
20000,148016,148016,3
21000,156508,156508,3
22000,165024,165024,3
23000,173052,173052,3
24000,180608,180608,3
25000,188476,188476,3
26000,197072,197072,3
27000,205068,205068,3
28000,212720,212720,3
29000,220044,220044,3
30000,227728,227728,3
31000,234708,234708,3
32000,241408,241408,3
33000,248588,248588,3
34000,259376,259376,3
35000,269364,269364,3
36000,279184,279184,3
37000,288292,288292,3
38000,298160,298160,3
39000,307140,307140,3
40000,316032,316032,3
41000,324084,324084,3
42000,334016,334016,3
43000,342996,342996,3
44000,352048,352048,3
45000,360124,360124,3
46000,369104,369104,3
47000,377212,377212,3
48000,385216,385216,3
49000,392388,392388,3
50000,401952,401952,3
1000,5044,5044,4
2000,11088,11088,4
3000,18076,18076,4
4000,24176,24176,4
5000,32004,32004,4
6000,39152,39152,4
7000,46180,46180,4
8000,52352,52352,4
9000,60796,60796,4
10000,69008,69008,4
11000,77012,77012,4
12000,84304,84304,4
13000,92036,92036,4
14000,99360,99360,4
15000,106364,106364,4
16000,112704,112704,4
17000,121188,121188,4
18000,130592,130592,4
19000,139580,139580,4
20000,148016,148016,4
21000,156508,156508,4
22000,165024,165024,4
23000,173052,173052,4
24000,180608,180608,4
25000,188476,188476,4
26000,197072,197072,4
27000,205068,205068,4
28000,212720,212720,4
29000,220044,220044,4
30000,227728,227728,4
