n,c,s,trial
1000,400710,205711,1
2000,1579791,808010,1
3000,3645604,1866650,1
4000,6443181,3301907,1
5000,10060812,5148190,1
6000,14533576,7440052,1
7000,19574186,10017395,1
8000,25849047,13240745,1
9000,32195275,16467827,1
10000,40446743,20737812,1
11000,48906249,25086787,1
12000,57502976,29398615,1
13000,67873926,34735455,1
14000,79021902,40513189,1
15000,91376267,46729096,1
16000,103125196,52851078,1
17000,117254586,60135848,1
18000,130847867,67065279,1
19000,146180120,74789406,1
20000,162240168,82959000,1
21000,177960861,91194750,1
22000,194158363,99515362,1
23000,214362715,109836950,1
24000,231135874,118259208,1
25000,254096514,130050395,1
26000,272981111,139907946,1
27000,293887062,150308739,1
28000,317249046,162522698,1
29000,337148219,172659494,1
30000,363004224,185775865,1
31000,384824192,196919864,1
32000,413292309,211733070,1
33000,441212039,225943276,1
34000,467928752,239526306,1
35000,497469402,254918570,1
36000,525057285,268762940,1
37000,553306937,283387938,1
38000,582499193,298208772,1
39000,613070603,314040104,1
40000,646713131,331217673,1
41000,678624568,347951225,1
42000,711872103,364928548,1
43000,749055541,383265495,1
44000,781792660,400171677,1
45000,816233184,417896757,1
46000,852902131,437096794,1
47000,889106512,455350002,1
48000,931728119,476987938,1
49000,973050503,497569741,1
50000,1015275302,519848485,1
1000,415998,212786,2
2000,1638417,834496,2
3000,3616525,1850274,2
4000,6499186,3317576,2
5000,10085191,5170222,2
6000,14391772,7331581,2
7000,19791820,10157656,2
8000,25943185,13296543,2
9000,32277556,16535893,2
10000,40302743,20593446,2
11000,49181154,25174369,2
12000,57720107,29541048,2
13000,68638117,35184548,2
14000,78390826,40203588,2
15000,90809236,46536136,2
16000,104179812,53406571,2
17000,115954859,59432993,2
18000,130766237,66947484,2
19000,145004208,74332853,2
20000,161216096,82412047,2
21000,177258700,90854856,2
22000,194331258,99422047,2
23000,212725091,109085973,2
24000,231940120,118695547,2
25000,253083360,129506604,2
26000,272824872,139788201,2
27000,292287973,149864839,2
28000,316877161,162394185,2
29000,341935574,174919002,2
30000,363718216,186080477,2
31000,387758512,198548832,2
32000,412950030,211328237,2
33000,437546931,224020238,2
34000,464467840,238211153,2
35000,492780563,253028142,2
36000,522512801,267776661,2
37000,550566491,281997749,2
38000,580995501,297820740,2
39000,613102171,314194837,2
40000,641053635,328424169,2
41000,677687326,347150892,2
42000,712936382,365142988,2
43000,748981065,383031230,2
44000,784989806,401785762,2
45000,817859649,418843878,2
46000,848036123,434589147,2
47000,888743304,455391355,2
48000,924826593,474625824,2
49000,964933005,493830767,2
50000,1011634426,517265487,2
1000,398742,204495,3
2000,1645436,838918,3
3000,3529621,1804291,3
4000,6479339,3317845,3
5000,9920967,5066491,3
6000,14356213,7368562,3
7000,19656714,10075907,3
8000,25864999,13197623,3
9000,32798485,16790152,3
