n,c,s,trial
1000,1000,1000,1
2000,2000,2000,1
3000,3000,3000,1
4000,4000,4000,1
5000,19998,9994,1
6000,6000,6000,1
7000,7000,7000,1
8000,8000,8000,1
9000,9000,9000,1
10000,29998,19996,1
11000,11000,11000,1
12000,35998,23996,1
13000,13000,13000,1
14000,41997,27994,1
15000,15000,15000,1
16000,16000,16000,1
17000,17000,17000,1
18000,18000,18000,1
19000,19000,19000,1
20000,20000,20000,1
21000,21000,21000,1
22000,22000,22000,1
23000,23000,23000,1
24000,24000,24000,1
25000,25000,25000,1
26000,77998,51996,1
27000,27000,27000,1
28000,28000,28000,1
29000,29000,29000,1
30000,30000,30000,1
31000,31000,31000,1
32000,95998,63996,1
33000,98998,65996,1
34000,34000,34000,1
35000,35000,35000,1
36000,36000,36000,1
37000,37000,37000,1
38000,38000,38000,1
39000,39000,39000,1
40000,40000,40000,1
41000,41000,41000,1
42000,125998,83996,1
43000,128998,85996,1
44000,44000,44000,1
45000,45000,45000,1
46000,46000,46000,1
47000,47000,47000,1
48000,48000,48000,1
49000,49000,49000,1
50000,50000,50000,1
1000,1000,1000,2
2000,2000,2000,2
3000,8998,5996,2
4000,4000,4000,2
5000,19998,9994,2
6000,6000,6000,2
7000,7000,7000,2
8000,8000,8000,2
9000,9000,9000,2
10000,10000,10000,2
11000,11000,11000,2
12000,35997,23994,2
13000,13000,13000,2
14000,14000,14000,2
15000,15000,15000,2
16000,16000,16000,2
17000,17000,17000,2
18000,89992,53986,2
19000,56998,37996,2
20000,59998,39996,2
21000,21000,21000,2
22000,22000,22000,2
23000,23000,23000,2
24000,24000,24000,2
25000,124991,74984,2
26000,26000,26000,2
27000,27000,27000,2
28000,28000,28000,2
29000,29000,29000,2
30000,30000,30000,2
31000,31000,31000,2
32000,32000,32000,2
33000,33000,33000,2
34000,34000,34000,2
35000,35000,35000,2
36000,36000,36000,2
37000,37000,37000,2
38000,151998,75994,2
39000,39000,39000,2
40000,40000,40000,2
41000,41000,41000,2
42000,42000,42000,2
43000,43000,43000,2
44000,44000,44000,2
45000,45000,45000,2
46000,137998,91996,2
47000,47000,47000,2
48000,143998,95996,2
49000,49000,49000,2
50000,50000,50000,2
1000,1000,1000,3
2000,2000,2000,3
3000,8997,5994,3
4000,4000,4000,3
5000,5000,5000,3
6000,6000,6000,3
7000,7000,7000,3
8000,8000,8000,3
9000,9000,9000,3
10000,10000,10000,3
11000,11000,11000,3
12000,12000,12000,3
13000,13000,13000,3
14000,14000,14000,3
15000,15000,15000,3
16000,16000,16000,3
17000,17000,17000,3
18000,18000,18000,3
19000,19000,19000,3
20000,20000,20000,3
21000,21000,21000,3
22000,22000,22000,3
23000,23000,23000,3
24000,24000,24000,3
25000,25000,25000,3
26000,26000,26000,3
27000,107998,53993,3
28000,28000,28000,3
29000,29000,29000,3
30000,30000,30000,3
31000,92998,61996,3
32000,32000,32000,3
33000,98998,65996,3
34000,34000,34000,3
35000,35000,35000,3
36000,36000,36000,3
37000,110996,73992,3
38000,38000,38000,3
39000,155998,77994,3
40000,40000,40000,3
41000,41000,41000,3
42000,42000,42000,3
43000,43000,43000,3
44000,44000,44000,3
45000,45000,45000,3
46000,46000,46000,3
47000,140998,93996,3
48000,48000,48000,3
49000,49000,49000,3
50000,50000,50000,3
1000,1000,1000,4
2000,5996,3992,4
3000,3000,3000,4
4000,4000,4000,4
5000,5000,5000,4
6000,6000,6000,4
7000,7000,7000,4
8000,8000,8000,4
9000,26998,17996,4
10000,59990,29980,4
11000,32998,21996,4
12000,12000,12000,4
13000,13000,13000,4
14000,14000,14000,4
15000,15000,15000,4
16000,16000,16000,4
17000,67998,33994,4
18000,18000,18000,4
19000,19000,19000,4
20000,20000,20000,4
21000,62998,41996,4
22000,22000,22000,4
23000,23000,23000,4
24000,71998,47996,4
25000,25000,25000,4
26000,26000,26000,4
27000,80998,53996,4
28000,28000,28000,4
29000,115998,57993,4
30000,30000,30000,4
31000,31000,31000,4
32000,32000,32000,4
33000,33000,33000,4
34000,34000,34000,4
35000,104998,69996,4
36000,36000,36000,4
37000,110998,73996,4
38000,38000,38000,4
39000,39000,39000,4
40000,40000,40000,4
41000,41000,41000,4
42000,125997,83994,4
43000,128998,85996,4
44000,44000,44000,4
45000,45000,45000,4
46000,46000,46000,4
47000,140998,93996,4
48000,48000,48000,4
49000,49000,49000,4
50000,50000,50000,4
1000,1000,1000,5
2000,2000,2000,5
3000,3000,3000,5
4000,11998,7996,5
5000,5000,5000,5
6000,6000,6000,5
7000,7000,7000,5
8000,8000,8000,5
9000,9000,9000,5
10000,10000,10000,5
11000,11000,11000,5
12000,12000,12000,5
13000,13000,13000,5
14000,14000,14000,5
15000,15000,15000,5
16000,16000,16000,5
17000,17000,17000,5
18000,53998,35996,5
19000,56998,37996,5
20000,20000,20000,5
21000,21000,21000,5
22000,22000,22000,5
23000,68998,45996,5
24000,24000,24000,5
25000,25000,25000,5
26000,26000,26000,5
27000,80998,53996,5
28000,28000,28000,5
29000,29000,29000,5
30000,30000,30000,5
31000,123998,61994,5
32000,32000,32000,5
33000,98998,65996,5
34000,34000,34000,5
35000,35000,35000,5
36000,36000,36000,5
37000,37000,37000,5
38000,38000,38000,5
39000,155998,77994,5
40000,40000,40000,5
41000,41000,41000,5
42000,42000,42000,5
43000,128998,85996,5
44000,44000,44000,5
45000,45000,45000,5
46000,137998,91996,5
47000,234990,140983,5
48000,191998,95994,5
49000,49000,49000,5
50000,50000,50000,5
1000,1000,1000,6
2000,2000,2000,6
3000,3000,3000,6
4000,4000,4000,6
5000,5000,5000,6
6000,6000,6000,6
7000,7000,7000,6
8000,8000,8000,6
9000,9000,9000,6
10000,10000,10000,6
11000,11000,11000,6
12000,12000,12000,6
13000,13000,13000,6
14000,14000,14000,6
15000,15000,15000,6
16000,16000,16000,6
17000,17000,17000,6
18000,18000,18000,6
19000,19000,19000,6
20000,79998,39994,6
21000,21000,21000,6
22000,22000,22000,6
23000,23000,23000,6
24000,95998,47993,6
25000,25000,25000,6
26000,26000,26000,6
27000,27000,27000,6
28000,28000,28000,6
29000,29000,29000,6
30000,30000,30000,6
31000,31000,31000,6
32000,32000,32000,6
33000,33000,33000,6
34000,34000,34000,6
35000,104998,69996,6
36000,107998,71996,6
37000,37000,37000,6
38000,38000,38000,6
39000,39000,39000,6
40000,119998,79996,6
41000,41000,41000,6
42000,42000,42000,6
43000,43000,43000,6
44000,44000,44000,6
45000,45000,45000,6
46000,46000,46000,6
47000,47000,47000,6
48000,48000,48000,6
49000,146998,97996,6
50000,50000,50000,6
1000,2998,1996,7
2000,2000,2000,7
3000,8998,5996,7
4000,11998,7996,7
5000,5000,5000,7
6000,6000,6000,7
7000,7000,7000,7
8000,40000,15992,7
9000,9000,9000,7
10000,29998,19996,7
11000,11000,11000,7
12000,12000,12000,7
13000,13000,13000,7
14000,14000,14000,7
15000,15000,15000,7
16000,47997,31994,7
17000,67998,33994,7
18000,18000,18000,7
19000,19000,19000,7
20000,20000,20000,7
21000,83997,41992,7
22000,22000,22000,7
23000,23000,23000,7
24000,24000,24000,7
25000,25000,25000,7
26000,26000,26000,7
27000,27000,27000,7
28000,28000,28000,7
29000,29000,29000,7
30000,30000,30000,7
31000,92998,61996,7
32000,32000,32000,7
33000,33000,33000,7
34000,34000,34000,7
35000,35000,35000,7
36000,36000,36000,7
37000,110998,73996,7
38000,38000,38000,7
39000,155997,77992,7
40000,40000,40000,7
41000,41000,41000,7
42000,42000,42000,7
43000,43000,43000,7
44000,131998,87996,7
45000,179998,89994,7
46000,46000,46000,7
47000,47000,47000,7
48000,48000,48000,7
49000,195998,97993,7
50000,50000,50000,7
1000,1000,1000,8
2000,2000,2000,8
3000,3000,3000,8
4000,4000,4000,8
5000,5000,5000,8
6000,6000,6000,8
7000,7000,7000,8
8000,23998,15996,8
9000,9000,9000,8
10000,10000,10000,8
11000,32997,21994,8
12000,35998,23996,8
13000,38998,25996,8
14000,14000,14000,8
15000,15000,15000,8
16000,63998,31994,8
17000,85000,33992,8
18000,18000,18000,8
19000,56998,37996,8
20000,59998,39996,8
21000,21000,21000,8
22000,22000,22000,8
23000,23000,23000,8
24000,24000,24000,8
25000,25000,25000,8
26000,77998,51996,8
27000,27000,27000,8
28000,28000,28000,8
29000,29000,29000,8
30000,30000,30000,8
31000,92997,61994,8
32000,127997,63992,8
33000,33000,33000,8
34000,101998,67996,8
35000,35000,35000,8
36000,36000,36000,8
37000,37000,37000,8
38000,38000,38000,8
39000,39000,39000,8
40000,40000,40000,8
41000,41000,41000,8
42000,42000,42000,8
43000,43000,43000,8
44000,44000,44000,8
45000,179998,89994,8
46000,137998,91996,8
47000,47000,47000,8
48000,143998,95996,8
49000,49000,49000,8
50000,50000,50000,8
1000,2998,1996,9
2000,5998,3996,9
3000,3000,3000,9
4000,11997,7994,9
5000,5000,5000,9
6000,6000,6000,9
7000,7000,7000,9
8000,8000,8000,9
9000,9000,9000,9
10000,10000,10000,9
11000,11000,11000,9
12000,12000,12000,9
13000,13000,13000,9
14000,14000,14000,9
15000,15000,15000,9
16000,47998,31996,9
17000,50998,33996,9
18000,18000,18000,9
19000,19000,19000,9
20000,59998,39996,9
21000,21000,21000,9
22000,65998,43996,9
23000,68998,45996,9
24000,24000,24000,9
25000,25000,25000,9
26000,26000,26000,9
27000,27000,27000,9
28000,28000,28000,9
29000,29000,29000,9
30000,30000,30000,9
31000,31000,31000,9
32000,95998,63996,9
33000,33000,33000,9
34000,34000,34000,9
35000,35000,35000,9
36000,36000,36000,9
37000,37000,37000,9
38000,38000,38000,9
39000,39000,39000,9
40000,40000,40000,9
41000,122998,81996,9
42000,125998,83996,9
43000,43000,43000,9
44000,44000,44000,9
45000,134998,89996,9
46000,46000,46000,9
47000,140998,93996,9
48000,48000,48000,9
49000,146998,97996,9
50000,50000,50000,9
1000,1000,1000,10
2000,2000,2000,10
3000,3000,3000,10
4000,11998,7996,10
5000,5000,5000,10
6000,17998,11996,10
7000,7000,7000,10
8000,8000,8000,10
9000,9000,9000,10
10000,10000,10000,10
11000,11000,11000,10
12000,12000,12000,10
13000,13000,13000,10
14000,14000,14000,10
15000,44998,29996,10
16000,16000,16000,10
17000,50998,33996,10
18000,18000,18000,10
19000,56997,37994,10
20000,20000,20000,10
21000,21000,21000,10
22000,22000,22000,10
23000,23000,23000,10
24000,24000,24000,10
25000,25000,25000,10
26000,103998,51993,10
27000,80998,53996,10
28000,28000,28000,10
29000,29000,29000,10
30000,89998,59996,10
31000,31000,31000,10
32000,95998,63996,10
33000,33000,33000,10
34000,34000,34000,10
35000,35000,35000,10
36000,36000,36000,10
37000,110998,73996,10
38000,38000,38000,10
39000,39000,39000,10
40000,40000,40000,10
41000,122998,81996,10
42000,42000,42000,10
43000,43000,43000,10
44000,175996,87990,10
45000,45000,45000,10
46000,137998,91996,10
47000,47000,47000,10
48000,143998,95996,10
49000,244992,146986,10
50000,50000,50000,10
