n,c,s,trial
1000,249500,1000,1
2000,999000,2000,1
3000,2248500,3000,1
4000,3998000,4000,1
5000,6247500,5000,1
6000,8997000,6000,1
7000,12246500,7000,1
8000,15996000,8000,1
9000,20245500,9000,1
10000,24995000,10000,1
11000,30244500,11000,1
12000,35994000,12000,1
13000,42243500,13000,1
14000,48993000,14000,1
15000,56242500,15000,1
16000,63992000,16000,1
17000,72241500,17000,1
18000,80991000,18000,1
19000,90240500,19000,1
20000,99990000,20000,1
21000,110239500,21000,1
22000,120989000,22000,1
23000,132238500,23000,1
24000,143988000,24000,1
25000,156237500,25000,1
26000,168987000,26000,1
27000,182236500,27000,1
28000,195986000,28000,1
29000,210235500,29000,1
30000,224985000,30000,1
31000,240234500,31000,1
32000,255984000,32000,1
33000,272233500,33000,1
34000,288983000,34000,1
35000,306232500,35000,1
36000,323982000,36000,1
37000,342231500,37000,1
38000,360981000,38000,1
39000,380230500,39000,1
40000,399980000,40000,1
41000,420229500,41000,1
42000,440979000,42000,1
43000,462228500,43000,1
44000,483978000,44000,1
45000,506227500,45000,1
46000,528977000,46000,1
47000,552226500,47000,1
48000,575976000,48000,1
49000,600225500,49000,1
50000,624975000,50000,1
1000,249500,1000,2
2000,999000,2000,2
3000,2248500,3000,2
4000,3998000,4000,2
5000,6247500,5000,2
6000,8997000,6000,2
7000,12246500,7000,2
8000,15996000,8000,2
9000,20245500,9000,2
10000,24995000,10000,2
11000,30244500,11000,2
12000,35994000,12000,2
13000,42243500,13000,2
14000,48993000,14000,2
15000,56242500,15000,2
16000,63992000,16000,2
17000,72241500,17000,2
18000,80991000,18000,2
19000,90240500,19000,2
20000,99990000,20000,2
21000,110239500,21000,2
22000,120989000,22000,2
23000,132238500,23000,2
24000,143988000,24000,2
25000,156237500,25000,2
26000,168987000,26000,2
27000,182236500,27000,2
28000,195986000,28000,2
29000,210235500,29000,2
30000,224985000,30000,2
31000,240234500,31000,2
32000,255984000,32000,2
33000,272233500,33000,2
34000,288983000,34000,2
35000,306232500,35000,2
36000,323982000,36000,2
37000,342231500,37000,2
38000,360981000,38000,2
39000,380230500,39000,2
40000,399980000,40000,2
41000,420229500,41000,2
42000,440979000,42000,2
43000,462228500,43000,2
44000,483978000,44000,2
45000,506227500,45000,2
46000,528977000,46000,2
47000,552226500,47000,2
48000,575976000,48000,2
49000,600225500,49000,2
50000,624975000,50000,2
1000,249500,1000,3
2000,999000,2000,3
3000,2248500,3000,3
4000,3998000,4000,3
