n,c,s,trial
1000,5051,5051,1
2000,11112,11112,1
3000,17278,17278,1
4000,24209,24209,1
5000,30546,30546,1
6000,37579,37579,1
7000,44545,44545,1
8000,52316,52316,1
9000,58929,58929,1
10000,65982,65982,1
11000,73131,73131,1
12000,81113,81113,1
13000,88486,88486,1
14000,96143,96143,1
15000,104129,104129,1
16000,112783,112783,1
17000,120001,120001,1
18000,126970,126970,1
19000,134181,134181,1
20000,142044,142044,1
21000,149788,149788,1
22000,157457,157457,1
23000,165573,165573,1
24000,174293,174293,1
25000,182415,182415,1
26000,189853,189853,1
27000,197933,197933,1
28000,206307,206307,1
29000,214987,214987,1
30000,223307,223307,1
31000,232219,232219,1
32000,241587,241587,1
33000,250683,250683,1
34000,257175,257175,1
35000,264398,264398,1
36000,271825,271825,1
37000,279919,279919,1
38000,287293,287293,1
39000,295478,295478,1
40000,304022,304022,1
41000,313169,313169,1
42000,320391,320391,1
43000,328670,328670,1
44000,336955,336955,1
45000,346108,346108,1
46000,354197,354197,1
47000,363454,363454,1
48000,372497,372497,1
49000,382648,382648,1
50000,389983,389983,1
1000,5054,5054,2
2000,11107,11107,2
3000,17261,17261,2
4000,24202,24202,2
5000,30477,30477,2
6000,37552,37552,2
7000,44567,44567,2
8000,52438,52438,2
9000,58956,58956,2
10000,65969,65969,2
11000,73254,73254,2
12000,81150,81150,2
13000,88469,88469,2
14000,96163,96163,2
15000,104141,104141,2
16000,112768,112768,2
17000,120057,120057,2
18000,126943,126943,2
19000,134217,134217,2
20000,141946,141946,2
21000,149817,149817,2
22000,157469,157469,2
23000,165594,165594,2
24000,174276,174276,2
25000,182568,182568,2
26000,190014,190014,2
27000,197942,197942,2
28000,206255,206255,2
29000,214943,214943,2
30000,223352,223352,2
31000,232335,232335,2
32000,241566,241566,2
33000,250736,250736,2
34000,257228,257228,2
35000,264426,264426,2
36000,271889,271889,2
37000,280025,280025,2
38000,287461,287461,2
39000,295773,295773,2
40000,303965,303965,2
41000,313066,313066,2
42000,320469,320469,2
43000,328803,328803,2
