n,c,s,trial
1000,499500,499500,1
2000,1999000,1999000,1
3000,4498500,4498500,1
4000,7998000,7998000,1
5000,12497500,12497500,1
6000,17997000,17997000,1
7000,24496500,24496500,1
8000,31996000,31996000,1
9000,40495500,40495500,1
10000,49995000,49995000,1
11000,60494500,60494500,1
12000,71994000,71994000,1
13000,84493500,84493500,1
14000,97993000,97993000,1
15000,112492500,112492500,1
16000,127992000,127992000,1
17000,144491500,144491500,1
18000,161991000,161991000,1
19000,180490500,180490500,1
20000,199990000,199990000,1
21000,220489500,220489500,1
22000,241989000,241989000,1
23000,264488500,264488500,1
24000,287988000,287988000,1
25000,312487500,312487500,1
26000,337987000,337987000,1
27000,364486500,364486500,1
28000,391986000,391986000,1
29000,420485500,420485500,1
30000,449985000,449985000,1
31000,480484500,480484500,1
32000,511984000,511984000,1
33000,544483500,544483500,1
34000,577983000,577983000,1
35000,612482500,612482500,1
36000,647982000,647982000,1
37000,684481500,684481500,1
38000,721981000,721981000,1
39000,760480500,760480500,1
40000,799980000,799980000,1
41000,840479500,840479500,1
42000,881979000,881979000,1
43000,924478500,924478500,1
44000,967978000,967978000,1
45000,1012477500,1012477500,1
46000,1057977000,1057977000,1
47000,1104476500,1104476500,1
48000,1151976000,1151976000,1
49000,1200475500,1200475500,1
50000,1249975000,1249975000,1
1000,499500,499500,2
2000,1999000,1999000,2
3000,4498500,4498500,2
4000,7998000,7998000,2
5000,12497500,12497500,2
6000,17997000,17997000,2
7000,24496500,24496500,2
8000,31996000,31996000,2
9000,40495500,40495500,2
10000,49995000,49995000,2
11000,60494500,60494500,2
12000,71994000,71994000,2
13000,84493500,84493500,2
14000,97993000,97993000,2
15000,112492500,112492500,2
16000,127992000,127992000,2
17000,144491500,144491500,2
18000,161991000,161991000,2
19000,180490500,180490500,2
20000,199990000,199990000,2
21000,220489500,220489500,2
22000,241989000,241989000,2
23000,264488500,264488500,2
24000,287988000,287988000,2
25000,312487500,312487500,2
26000,337987000,337987000,2
27000,364486500,364486500,2
28000,391986000,391986000,2
29000,420485500,420485500,2
30000,449985000,449985000,2
31000,480484500,480484500,2
32000,511984000,511984000,2
33000,544483500,544483500,2
34000,577983000,577983000,2
35000,612482500,612482500,2
36000,647982000,647982000,2
37000,684481500,684481500,2
38000,721981000,721981000,2
39000,760480500,760480500,2
40000,799980000,799980000,2
41000,840479500,840479500,2
42000,881979000,881979000,2
43000,924478500,924478500,2
44000,967978000,967978000,2
45000,1012477500,1012477500,2
46000,1057977000,1057977000,2
47000,1104476500,1104476500,2
48000,1151976000,1151976000,2
49000,1200475500,1200475500,2
50000,1249975000,1249975000,2
1000,499500,499500,3
2000,1999000,1999000,3
3000,4498500,4498500,3
4000,7998000,7998000,3
5000,12497500,12497500,3
6000,17997000,17997000,3
7000,24496500,24496500,3
8000,31996000,31996000,3
9000,40495500,40495500,3
10000,49995000,49995000,3
11000,60494500,60494500,3
12000,71994000,71994000,3
13000,84493500,84493500,3
14000,97993000,97993000,3
15000,112492500,112492500,3
16000,127992000,127992000,3
17000,144491500,144491500,3
18000,161991000,161991000,3
19000,180490500,180490500,3
20000,199990000,199990000,3
21000,220489500,220489500,3
22000,241989000,241989000,3
23000,264488500,264488500,3
24000,287988000,287988000,3
25000,312487500,312487500,3
26000,337987000,337987000,3
27000,364486500,364486500,3
28000,391986000,391986000,3
29000,420485500,420485500,3
30000,449985000,449985000,3
31000,480484500,480484500,3
32000,511984000,511984000,3
33000,544483500,544483500,3
34000,577983000,577983000,3
35000,612482500,612482500,3
36000,647982000,647982000,3
37000,684481500,684481500,3
38000,721981000,721981000,3
39000,760480500,760480500,3
40000,799980000,799980000,3
41000,840479500,840479500,3
42000,881979000,881979000,3
43000,924478500,924478500,3
44000,967978000,967978000,3
45000,1012477500,1012477500,3
46000,1057977000,1057977000,3
47000,1104476500,1104476500,3
48000,1151976000,1151976000,3
49000,1200475500,1200475500,3
50000,1249975000,1249975000,3
1000,499500,499500,4
2000,1999000,1999000,4
3000,4498500,4498500,4
4000,7998000,7998000,4
5000,12497500,12497500,4
6000,17997000,17997000,4
7000,24496500,24496500,4
8000,31996000,31996000,4
9000,40495500,40495500,4
10000,49995000,49995000,4
11000,60494500,60494500,4
12000,71994000,71994000,4
13000,84493500,84493500,4
14000,97993000,97993000,4
15000,112492500,112492500,4
16000,127992000,127992000,4
17000,144491500,144491500,4
18000,161991000,161991000,4
19000,180490500,180490500,4
20000,199990000,199990000,4
21000,220489500,220489500,4
22000,241989000,241989000,4
23000,264488500,264488500,4
24000,287988000,287988000,4
25000,312487500,312487500,4
26000,337987000,337987000,4
27000,364486500,364486500,4
28000,391986000,391986000,4
29000,420485500,420485500,4
30000,449985000,449985000,4
31000,480484500,480484500,4
32000,511984000,511984000,4
33000,544483500,544483500,4
34000,577983000,577983000,4
35000,612482500,612482500,4
36000,647982000,647982000,4
37000,684481500,684481500,4
38000,721981000,721981000,4
39000,760480500,760480500,4
40000,799980000,799980000,4
41000,840479500,840479500,4
42000,881979000,881979000,4
43000,924478500,924478500,4
44000,967978000,967978000,4
45000,1012477500,1012477500,4
46000,1057977000,1057977000,4
47000,1104476500,1104476500,4
48000,1151976000,1151976000,4
49000,1200475500,1200475500,4
50000,1249975000,1249975000,4
1000,499500,499500,5
2000,1999000,1999000,5
3000,4498500,4498500,5
4000,7998000,7998000,5
5000,12497500,12497500,5
6000,17997000,17997000,5
7000,24496500,24496500,5
8000,31996000,31996000,5
9000,40495500,40495500,5
10000,49995000,49995000,5
11000,60494500,60494500,5
12000,71994000,71994000,5
13000,84493500,84493500,5
14000,97993000,97993000,5
15000,112492500,112492500,5
16000,127992000,127992000,5
17000,144491500,144491500,5
18000,161991000,161991000,5
19000,180490500,180490500,5
20000,199990000,199990000,5
21000,220489500,220489500,5
22000,241989000,241989000,5
23000,264488500,264488500,5
24000,287988000,287988000,5
25000,312487500,312487500,5
26000,337987000,337987000,5
27000,364486500,364486500,5
28000,391986000,391986000,5
29000,420485500,420485500,5
30000,449985000,449985000,5
31000,480484500,480484500,5
32000,511984000,511984000,5
33000,544483500,544483500,5
34000,577983000,577983000,5
35000,612482500,612482500,5
36000,647982000,647982000,5
37000,684481500,684481500,5
38000,721981000,721981000,5
