n,c,s,trial
1000,1000,0,1
2000,2000,0,1
3000,3000,0,1
4000,4000,0,1
5000,5000,0,1
6000,6000,0,1
7000,7000,0,1
8000,8000,0,1
9000,9000,0,1
10000,10000,0,1
11000,11000,0,1
12000,12000,0,1
13000,13000,0,1
14000,14000,0,1
15000,15000,0,1
16000,16000,0,1
17000,17000,0,1
18000,18000,0,1
19000,19000,0,1
20000,20000,0,1
21000,21000,0,1
22000,22000,0,1
23000,23000,0,1
24000,24000,0,1
25000,25000,0,1
26000,26000,0,1
27000,27000,0,1
28000,28000,0,1
29000,29000,0,1
30000,30000,0,1
31000,31000,0,1
32000,32000,0,1
33000,33000,0,1
34000,34000,0,1
35000,35000,0,1
36000,36000,0,1
37000,37000,0,1
38000,38000,0,1
39000,39000,0,1
40000,40000,0,1
41000,41000,0,1
42000,42000,0,1
43000,43000,0,1
44000,44000,0,1
45000,45000,0,1
46000,46000,0,1
47000,47000,0,1
48000,48000,0,1
49000,49000,0,1
50000,50000,0,1
1000,1000,0,2
2000,2000,0,2
3000,3000,0,2
4000,4000,0,2
5000,5000,0,2
6000,6000,0,2
7000,7000,0,2
8000,8000,0,2
9000,9000,0,2
10000,10000,0,2
11000,11000,0,2
12000,12000,0,2
13000,13000,0,2
14000,14000,0,2
15000,15000,0,2
16000,16000,0,2
17000,17000,0,2
18000,18000,0,2
19000,19000,0,2
20000,20000,0,2
21000,21000,0,2
22000,22000,0,2
23000,23000,0,2
24000,24000,0,2
25000,25000,0,2
26000,26000,0,2
27000,27000,0,2
28000,28000,0,2
29000,29000,0,2
30000,30000,0,2
31000,31000,0,2
32000,32000,0,2
33000,33000,0,2
34000,34000,0,2
35000,35000,0,2
36000,36000,0,2
37000,37000,0,2
38000,38000,0,2
39000,39000,0,2
40000,40000,0,2
41000,41000,0,2
42000,42000,0,2
43000,43000,0,2
44000,44000,0,2
45000,45000,0,2
46000,46000,0,2
47000,47000,0,2
48000,48000,0,2
49000,49000,0,2
50000,50000,0,2
1000,1000,0,3
2000,2000,0,3
3000,3000,0,3
4000,4000,0,3
5000,5000,0,3
6000,6000,0,3
7000,7000,0,3
8000,8000,0,3
9000,9000,0,3
10000,10000,0,3
11000,11000,0,3
12000,12000,0,3
13000,13000,0,3
14000,14000,0,3
15000,15000,0,3
16000,16000,0,3
17000,17000,0,3
18000,18000,0,3
19000,19000,0,3
20000,20000,0,3
21000,21000,0,3
22000,22000,0,3
23000,23000,0,3
24000,24000,0,3
25000,25000,0,3
26000,26000,0,3
27000,27000,0,3
28000,28000,0,3
29000,29000,0,3
30000,30000,0,3
31000,31000,0,3
32000,32000,0,3
33000,33000,0,3
34000,34000,0,3
35000,35000,0,3
36000,36000,0,3
37000,37000,0,3
38000,38000,0,3
39000,39000,0,3
40000,40000,0,3
41000,41000,0,3
42000,42000,0,3
43000,43000,0,3
44000,44000,0,3
45000,45000,0,3
46000,46000,0,3
47000,47000,0,3
48000,48000,0,3
49000,49000,0,3
50000,50000,0,3
1000,1000,0,4
2000,2000,0,4
3000,3000,0,4
4000,4000,0,4
5000,5000,0,4
6000,6000,0,4
7000,7000,0,4
8000,8000,0,4
9000,9000,0,4
10000,10000,0,4
11000,11000,0,4
12000,12000,0,4
13000,13000,0,4
14000,14000,0,4
15000,15000,0,4
16000,16000,0,4
17000,17000,0,4
18000,18000,0,4
19000,19000,0,4
20000,20000,0,4
21000,21000,0,4
22000,22000,0,4
23000,23000,0,4
24000,24000,0,4
25000,25000,0,4
26000,26000,0,4
27000,27000,0,4
28000,28000,0,4
29000,29000,0,4
30000,30000,0,4
31000,31000,0,4
32000,32000,0,4
33000,33000,0,4
34000,34000,0,4
35000,35000,0,4
36000,36000,0,4
37000,37000,0,4
38000,38000,0,4
39000,39000,0,4
40000,40000,0,4
41000,41000,0,4
42000,42000,0,4
43000,43000,0,4
44000,44000,0,4
45000,45000,0,4
46000,46000,0,4
47000,47000,0,4
48000,48000,0,4
49000,49000,0,4
50000,50000,0,4
1000,1000,0,5
2000,2000,0,5
3000,3000,0,5
4000,4000,0,5
5000,5000,0,5
6000,6000,0,5
7000,7000,0,5
8000,8000,0,5
9000,9000,0,5
10000,10000,0,5
11000,11000,0,5
12000,12000,0,5
13000,13000,0,5
14000,14000,0,5
15000,15000,0,5
16000,16000,0,5
17000,17000,0,5
18000,18000,0,5
19000,19000,0,5
20000,20000,0,5
21000,21000,0,5
22000,22000,0,5
23000,23000,0,5
24000,24000,0,5
25000,25000,0,5
26000,26000,0,5
27000,27000,0,5
28000,28000,0,5
29000,29000,0,5
30000,30000,0,5
31000,31000,0,5
32000,32000,0,5
33000,33000,0,5
34000,34000,0,5
35000,35000,0,5
36000,36000,0,5
37000,37000,0,5
38000,38000,0,5
39000,39000,0,5
40000,40000,0,5
41000,41000,0,5
42000,42000,0,5
43000,43000,0,5
44000,44000,0,5
45000,45000,0,5
46000,46000,0,5
47000,47000,0,5
48000,48000,0,5
49000,49000,0,5
50000,50000,0,5
1000,1000,0,6
2000,2000,0,6
3000,3000,0,6
4000,4000,0,6
5000,5000,0,6
6000,6000,0,6
7000,7000,0,6
8000,8000,0,6
9000,9000,0,6
10000,10000,0,6
11000,11000,0,6
12000,12000,0,6
13000,13000,0,6
14000,14000,0,6
15000,15000,0,6
16000,16000,0,6
17000,17000,0,6
18000,18000,0,6
19000,19000,0,6
20000,20000,0,6
21000,21000,0,6
22000,22000,0,6
23000,23000,0,6
24000,24000,0,6
25000,25000,0,6
26000,26000,0,6
27000,27000,0,6
28000,28000,0,6
29000,29000,0,6
30000,30000,0,6
31000,31000,0,6
32000,32000,0,6
33000,33000,0,6
34000,34000,0,6
35000,35000,0,6
36000,36000,0,6
37000,37000,0,6
38000,38000,0,6
39000,39000,0,6
40000,40000,0,6
41000,41000,0,6
42000,42000,0,6
43000,43000,0,6
44000,44000,0,6
45000,45000,0,6
46000,46000,0,6
47000,47000,0,6
48000,48000,0,6
49000,49000,0,6
50000,50000,0,6
1000,1000,0,7
2000,2000,0,7
3000,3000,0,7
4000,4000,0,7
5000,5000,0,7
6000,6000,0,7
7000,7000,0,7
8000,8000,0,7
9000,9000,0,7
10000,10000,0,7
11000,11000,0,7
12000,12000,0,7
13000,13000,0,7
14000,14000,0,7
15000,15000,0,7
16000,16000,0,7
17000,17000,0,7
18000,18000,0,7
19000,19000,0,7
20000,20000,0,7
21000,21000,0,7
22000,22000,0,7
23000,23000,0,7
24000,24000,0,7
25000,25000,0,7
26000,26000,0,7
27000,27000,0,7
28000,28000,0,7
29000,29000,0,7
30000,30000,0,7
31000,31000,0,7
32000,32000,0,7
33000,33000,0,7
34000,34000,0,7
35000,35000,0,7
36000,36000,0,7
37000,37000,0,7
38000,38000,0,7
39000,39000,0,7
40000,40000,0,7
41000,41000,0,7
42000,42000,0,7
43000,43000,0,7
44000,44000,0,7
45000,45000,0,7
46000,46000,0,7
47000,47000,0,7
48000,48000,0,7
49000,49000,0,7
50000,50000,0,7
1000,1000,0,8
2000,2000,0,8
3000,3000,0,8
4000,4000,0,8
5000,5000,0,8
6000,6000,0,8
7000,7000,0,8
8000,8000,0,8
9000,9000,0,8
10000,10000,0,8
11000,11000,0,8
12000,12000,0,8
13000,13000,0,8
14000,14000,0,8
15000,15000,0,8
16000,16000,0,8
17000,17000,0,8
18000,18000,0,8
19000,19000,0,8
20000,20000,0,8
21000,21000,0,8
22000,22000,0,8
23000,23000,0,8
24000,24000,0,8
25000,25000,0,8
26000,26000,0,8
27000,27000,0,8
28000,28000,0,8
29000,29000,0,8
30000,30000,0,8
31000,31000,0,8
32000,32000,0,8
33000,33000,0,8
34000,34000,0,8
35000,35000,0,8
36000,36000,0,8
37000,37000,0,8
38000,38000,0,8
39000,39000,0,8
40000,40000,0,8
41000,41000,0,8
42000,42000,0,8
43000,43000,0,8
44000,44000,0,8
45000,45000,0,8
46000,46000,0,8
47000,47000,0,8
48000,48000,0,8
49000,49000,0,8
50000,50000,0,8
1000,1000,0,9
2000,2000,0,9
3000,3000,0,9
4000,4000,0,9
5000,5000,0,9
6000,6000,0,9
7000,7000,0,9
8000,8000,0,9
9000,9000,0,9
10000,10000,0,9
11000,11000,0,9
12000,12000,0,9
13000,13000,0,9
14000,14000,0,9
15000,15000,0,9
16000,16000,0,9
17000,17000,0,9
18000,18000,0,9
19000,19000,0,9
20000,20000,0,9
21000,21000,0,9
22000,22000,0,9
23000,23000,0,9
24000,24000,0,9
25000,25000,0,9
26000,26000,0,9
27000,27000,0,9
28000,28000,0,9
29000,29000,0,9
30000,30000,0,9
31000,31000,0,9
32000,32000,0,9
33000,33000,0,9
34000,34000,0,9
35000,35000,0,9
36000,36000,0,9
37000,37000,0,9
38000,38000,0,9
39000,39000,0,9
40000,40000,0,9
41000,41000,0,9
42000,42000,0,9
43000,43000,0,9
44000,44000,0,9
45000,45000,0,9
46000,46000,0,9
47000,47000,0,9
48000,48000,0,9
49000,49000,0,9
50000,50000,0,9
1000,1000,0,10
2000,2000,0,10
3000,3000,0,10
4000,4000,0,10
5000,5000,0,10
6000,6000,0,10
7000,7000,0,10
8000,8000,0,10
9000,9000,0,10
10000,10000,0,10
11000,11000,0,10
12000,12000,0,10
13000,13000,0,10
14000,14000,0,10
15000,15000,0,10
16000,16000,0,10
17000,17000,0,10
18000,18000,0,10
19000,19000,0,10
20000,20000,0,10
21000,21000,0,10
22000,22000,0,10
23000,23000,0,10
24000,24000,0,10
25000,25000,0,10
26000,26000,0,10
27000,27000,0,10
28000,28000,0,10
29000,29000,0,10
30000,30000,0,10
31000,31000,0,10
32000,32000,0,10
33000,33000,0,10
34000,34000,0,10
35000,35000,0,10
36000,36000,0,10
37000,37000,0,10
38000,38000,0,10
39000,39000,0,10
40000,40000,0,10
41000,41000,0,10
42000,42000,0,10
43000,43000,0,10
44000,44000,0,10
45000,45000,0,10
46000,46000,0,10
47000,47000,0,10
48000,48000,0,10
49000,49000,0,10
50000,50000,0,10
