n,c,s,trial
1000,5875,4168,1
2000,12705,10716,1
3000,19531,14297,1
4000,26976,18684,1
5000,32466,23662,1
6000,44507,28636,1
7000,47710,34647,1
8000,65543,38499,1
9000,69294,53923,1
10000,75809,57920,1
11000,80573,62745,1
12000,91536,61720,1
13000,105348,80320,1
14000,111709,81978,1
15000,130709,77849,1
16000,130106,97631,1
17000,131915,100358,1
18000,144216,103135,1
19000,148923,104672,1
20000,167160,123018,1
21000,171120,125903,1
22000,189194,132102,1
23000,192280,142817,1
24000,202033,141871,1
25000,214019,155415,1
26000,222495,146705,1
27000,248563,166885,1
28000,234093,167399,1
29000,261259,167354,1
30000,263960,182590,1
31000,269785,188698,1
32000,281340,184414,1
33000,302588,219615,1
34000,302025,226571,1
35000,316556,222394,1
36000,322139,225555,1
37000,313814,221270,1
38000,343714,237342,1
39000,366501,235175,1
40000,364562,244583,1
41000,367897,270690,1
42000,377168,250944,1
43000,386714,278724,1
44000,419450,292483,1
45000,414592,299613,1
46000,419756,293931,1
47000,412755,302104,1
48000,456218,298446,1
49000,466746,336448,1
50000,458926,308491,1
1000,6073,3840,2
2000,11405,8865,2
3000,19572,13461,2
4000,26442,19480,2
5000,34948,24605,2
6000,40431,29536,2
7000,48553,35422,2
8000,61795,40426,2
9000,70231,49371,2
10000,80337,62767,2
11000,88075,58012,2
12000,90535,68438,2
13000,104931,72464,2
14000,114891,73532,2
15000,137855,78223,2
16000,133005,99948,2
17000,141534,101276,2
18000,147752,99891,2
19000,152611,104673,2
20000,176935,122890,2
21000,170173,130106,2
22000,188925,140188,2
23000,197112,141163,2
24000,202246,139483,2
25000,210359,161355,2
26000,236264,172789,2
27000,234941,164600,2
28000,288624,204235,2
29000,261959,180818,2
30000,262582,202194,2
31000,280356,177762,2
32000,281058,193352,2
33000,309731,213081,2
34000,320213,222065,2
35000,325142,251354,2
36000,318032,234308,2
37000,324578,227517,2
38000,341136,233105,2
39000,340170,245488,2
40000,371482,238966,2
41000,379695,306407,2
