n,c,s,trial
1000,247052,994,1
2000,1008087,1996,1
3000,2244697,2994,1
4000,4009994,3993,1
5000,6302420,4988,1
6000,8895860,5990,1
7000,12251589,6994,1
8000,16258012,7990,1
9000,20503266,8988,1
10000,24965458,9989,1
11000,29848637,10992,1
12000,35936278,11987,1
13000,42000744,12988,1
14000,49183315,13989,1
15000,56221862,14993,1
16000,63253163,15991,1
17000,72373049,16990,1
18000,81612117,17992,1
19000,89927040,18989,1
20000,100346380,19991,1
21000,110337586,20989,1
22000,121951449,21993,1
23000,132253114,22991,1
24000,143470456,23984,1
25000,156121607,24991,1
26000,169417042,25997,1
27000,181661394,26988,1
28000,197370663,27990,1
29000,210887711,28987,1
30000,223756036,29981,1
31000,238830475,30990,1
32000,259558884,31989,1
33000,271946392,32993,1
34000,287609255,33987,1
35000,306581545,34989,1
36000,323147008,35993,1
37000,340743849,36987,1
38000,360640258,37990,1
39000,379371062,38985,1
40000,399771683,39990,1
41000,419848296,40988,1
42000,441984443,41986,1
43000,464042849,42982,1
44000,482193915,43991,1
45000,504388429,44991,1
46000,525582674,45993,1
47000,551548510,46989,1
48000,577451465,47984,1
49000,602899054,48989,1
50000,628141710,49991,1
