n,c,s,trial
1000,8706,8706,1
2000,19430,19430,1
3000,30901,30901,1
4000,42787,42787,1
5000,55291,55291,1
6000,67869,67869,1
7000,80613,80613,1
8000,93628,93628,1
9000,106999,106999,1
10000,120572,120572,1
11000,134077,134077,1
12000,147664,147664,1
13000,161518,161518,1
14000,175457,175457,1
15000,189336,189336,1
16000,203343,203343,1
17000,217528,217528,1
18000,231978,231978,1
19000,246357,246357,1
20000,260913,260913,1
21000,275480,275480,1
22000,289996,289996,1
23000,304635,304635,1
24000,319286,319286,1
25000,334093,334093,1
26000,348890,348890,1
27000,363734,363734,1
28000,379014,379014,1
29000,393630,393630,1
30000,408687,408687,1
31000,423507,423507,1
32000,438663,438663,1
33000,453677,453677,1
34000,469107,469107,1
35000,484434,484434,1
36000,500075,500075,1
37000,515412,515412,1
38000,530929,530929,1
39000,546365,546365,1
40000,561755,561755,1
41000,577230,577230,1
42000,592728,592728,1
43000,608655,608655,1
44000,623946,623946,1
45000,639747,639747,1
46000,655285,655285,1
47000,671053,671053,1
48000,686898,686898,1
49000,702055,702055,1
50000,718209,718209,1
1000,8700,8700,2
2000,19445,19445,2
3000,30942,30942,2
4000,42791,42791,2
5000,55208,55208,2
6000,67772,67772,2
7000,80676,80676,2
8000,93657,93657,2
9000,106965,106965,2
10000,120401,120401,2
11000,133951,133951,2
12000,147702,147702,2
13000,161466,161466,2
14000,175466,175466,2
15000,189254,189254,2
16000,203223,203223,2
17000,217542,217542,2
18000,231922,231922,2
19000,246536,246536,2
20000,260809,260809,2
21000,275550,275550,2
22000,289946,289946,2
23000,304640,304640,2
24000,319291,319291,2
25000,334133,334133,2
26000,349033,349033,2
27000,363779,363779,2
28000,378759,378759,2
29000,393705,393705,2
30000,408512,408512,2
31000,423644,423644,2
32000,438508,438508,2
33000,453789,453789,2
34000,469169,469169,2
35000,484519,484519,2
36000,500013,500013,2
37000,515305,515305,2
38000,530801,530801,2
39000,546377,546377,2
40000,561986,561986,2
41000,577350,577350,2
42000,592932,592932,2
43000,608478,608478,2
44000,624286,624286,2
45000,639628,639628,2
46000,655412,655412,2
47000,670993,670993,2
48000,686702,686702,2
49000,702407,702407,2
50000,718525,718525,2
1000,8716,8716,3
2000,19393,19393,3
3000,30897,30897,3
4000,42856,42856,3
5000,55161,55161,3
6000,67831,67831,3
7000,80661,80661,3
8000,93645,93645,3
9000,106929,106929,3
10000,120498,120498,3
11000,133993,133993,3
12000,147619,147619,3
13000,161561,161561,3
14000,175524,175524,3
15000,189284,189284,3
16000,203268,203268,3
17000,217566,217566,3
18000,231943,231943,3
19000,246556,246556,3
20000,260993,260993,3
21000,275394,275394,3
22000,290047,290047,3
23000,304611,304611,3
24000,319350,319350,3
25000,334108,334108,3
26000,349008,349008,3
27000,363764,363764,3
28000,378817,378817,3
29000,393757,393757,3
30000,408545,408545,3
31000,423551,423551,3
32000,438628,438628,3
33000,453822,453822,3
34000,469081,469081,3
35000,484452,484452,3
36000,499884,499884,3
37000,515591,515591,3
38000,530649,530649,3
39000,546259,546259,3
40000,561990,561990,3
41000,577333,577333,3
42000,592838,592838,3
43000,608283,608283,3
44000,624111,624111,3
45000,639544,639544,3
46000,655496,655496,3
47000,670957,670957,3
48000,686768,686768,3
49000,702244,702244,3
50000,717995,717995,3
1000,8724,8724,4
2000,19386,19386,4
3000,30913,30913,4
4000,42896,42896,4
5000,55205,55205,4
6000,67833,67833,4
7000,80616,80616,4
8000,93664,93664,4
9000,106918,106918,4
10000,120493,120493,4
11000,134011,134011,4
12000,147666,147666,4
13000,161384,161384,4
14000,175292,175292,4
15000,189191,189191,4
16000,203421,203421,4
17000,217522,217522,4
18000,231956,231956,4
19000,246486,246486,4
20000,260891,260891,4
21000,275451,275451,4
22000,290164,290164,4
23000,304709,304709,4
24000,319256,319256,4
25000,334031,334031,4
26000,349072,349072,4
27000,363840,363840,4
28000,378769,378769,4
29000,393591,393591,4
30000,408573,408573,4
31000,423447,423447,4
32000,438586,438586,4
33000,453436,453436,4
34000,469118,469118,4
35000,484541,484541,4
36000,499974,499974,4
37000,515446,515446,4
38000,531019,531019,4
39000,546251,546251,4
40000,561970,561970,4
41000,577324,577324,4
42000,593186,593186,4
43000,608516,608516,4
44000,624003,624003,4
45000,639734,639734,4
46000,655455,655455,4
47000,671078,671078,4
48000,686564,686564,4
49000,702354,702354,4
50000,718249,718249,4
1000,8705,8705,5
2000,19359,19359,5
3000,30935,30935,5
4000,42860,42860,5
5000,55186,55186,5
6000,67799,67799,5
7000,80675,80675,5
8000,93657,93657,5
9000,107011,107011,5
10000,120428,120428,5
11000,134092,134092,5
12000,147775,147775,5
13000,161555,161555,5
14000,175410,175410,5
15000,189263,189263,5
16000,203337,203337,5
17000,217581,217581,5
18000,231927,231927,5
19000,246455,246455,5
20000,260782,260782,5
21000,275525,275525,5
22000,289998,289998,5
23000,304639,304639,5
24000,319450,319450,5
25000,334063,334063,5
26000,349005,349005,5
27000,363941,363941,5
28000,378648,378648,5
29000,393594,393594,5
30000,408575,408575,5
31000,423598,423598,5
32000,438498,438498,5
33000,453702,453702,5
34000,468915,468915,5
35000,484439,484439,5
36000,499981,499981,5
37000,515444,515444,5
38000,530875,530875,5
39000,546303,546303,5
40000,561863,561863,5
41000,577315,577315,5
42000,593069,593069,5
43000,608467,608467,5
44000,624246,624246,5
45000,639735,639735,5
46000,655548,655548,5
47000,671032,671032,5
48000,686504,686504,5
49000,702430,702430,5
50000,718228,718228,5
1000,8697,8697,6
2000,19404,19404,6
3000,30921,30921,6
4000,42771,42771,6
5000,55218,55218,6
6000,67809,67809,6
7000,80669,80669,6
8000,93646,93646,6
9000,106931,106931,6
10000,120460,120460,6
11000,133983,133983,6
12000,147691,147691,6
13000,161521,161521,6
14000,175377,175377,6
15000,189264,189264,6
16000,203155,203155,6
17000,217475,217475,6
18000,231973,231973,6
19000,246329,246329,6
20000,260897,260897,6
21000,275564,275564,6
22000,290033,290033,6
23000,304648,304648,6
24000,319398,319398,6
25000,334208,334208,6
26000,349059,349059,6
27000,363688,363688,6
28000,378765,378765,6
29000,393745,393745,6
30000,408584,408584,6
31000,423733,423733,6
32000,438482,438482,6
33000,453896,453896,6
34000,469133,469133,6
35000,484514,484514,6
36000,499999,499999,6
37000,515488,515488,6
38000,530872,530872,6
39000,546095,546095,6
40000,561721,561721,6
41000,577342,577342,6
42000,592881,592881,6
43000,608873,608873,6
44000,624134,624134,6
45000,639732,639732,6
46000,655374,655374,6
47000,671031,671031,6
48000,686621,686621,6
49000,702468,702468,6
50000,718283,718283,6
1000,8669,8669,7
2000,19416,19416,7
3000,30927,30927,7
4000,42846,42846,7
5000,55280,55280,7
6000,67861,67861,7
7000,80638,80638,7
8000,93632,93632,7
9000,107053,107053,7
10000,120402,120402,7
11000,133971,133971,7
12000,147686,147686,7
13000,161391,161391,7
14000,175333,175333,7
15000,189300,189300,7
16000,203327,203327,7
17000,217598,217598,7
18000,231891,231891,7
19000,246497,246497,7
20000,260943,260943,7
21000,275570,275570,7
22000,290036,290036,7
23000,304714,304714,7
24000,319420,319420,7
25000,333976,333976,7
26000,348918,348918,7
27000,364067,364067,7
28000,378824,378824,7
29000,393696,393696,7
30000,408672,408672,7
31000,423605,423605,7
32000,438683,438683,7
33000,453521,453521,7
34000,469070,469070,7
35000,484375,484375,7
36000,499918,499918,7
37000,515173,515173,7
38000,530663,530663,7
39000,546374,546374,7
40000,561874,561874,7
41000,577287,577287,7
42000,592937,592937,7
43000,608547,608547,7
44000,624141,624141,7
45000,639629,639629,7
46000,655559,655559,7
47000,670964,670964,7
48000,686521,686521,7
49000,702510,702510,7
50000,718221,718221,7
1000,8701,8701,8
2000,19392,19392,8
3000,30908,30908,8
4000,42856,42856,8
5000,55144,55144,8
6000,67800,67800,8
7000,80665,80665,8
8000,93594,93594,8
9000,107079,107079,8
10000,120480,120480,8
11000,134159,134159,8
12000,147707,147707,8
13000,161450,161450,8
14000,175399,175399,8
15000,189278,189278,8
16000,203260,203260,8
17000,217504,217504,8
18000,231972,231972,8
19000,246394,246394,8
20000,261019,261019,8
21000,275702,275702,8
22000,289887,289887,8
23000,304933,304933,8
24000,319350,319350,8
25000,334083,334083,8
26000,348943,348943,8
27000,363644,363644,8
28000,378711,378711,8
29000,393660,393660,8
30000,408521,408521,8
31000,423522,423522,8
32000,438550,438550,8
33000,453761,453761,8
34000,469116,469116,8
35000,484391,484391,8
36000,499951,499951,8
37000,515306,515306,8
38000,530715,530715,8
39000,546187,546187,8
40000,561622,561622,8
41000,577193,577193,8
42000,592951,592951,8
43000,608403,608403,8
44000,624080,624080,8
45000,639616,639616,8
46000,655288,655288,8
47000,670859,670859,8
48000,686871,686871,8
49000,702502,702502,8
50000,718075,718075,8
1000,8672,8672,9
2000,19420,19420,9
3000,30925,30925,9
4000,42777,42777,9
5000,55228,55228,9
6000,67880,67880,9
7000,80632,80632,9
8000,93547,93547,9
9000,106948,106948,9
10000,120445,120445,9
11000,134016,134016,9
12000,147806,147806,9
13000,161575,161575,9
14000,175353,175353,9
15000,189359,189359,9
16000,203377,203377,9
17000,217572,217572,9
18000,231966,231966,9
19000,246431,246431,9
20000,260884,260884,9
21000,275471,275471,9
22000,290045,290045,9
23000,304729,304729,9
24000,319284,319284,9
25000,334202,334202,9
26000,348990,348990,9
27000,363737,363737,9
28000,378909,378909,9
29000,393629,393629,9
30000,408441,408441,9
31000,423667,423667,9
32000,438559,438559,9
33000,453740,453740,9
34000,469118,469118,9
35000,484587,484587,9
36000,499848,499848,9
37000,515562,515562,9
38000,530909,530909,9
39000,546341,546341,9
40000,561675,561675,9
41000,577406,577406,9
42000,592988,592988,9
43000,608504,608504,9
44000,623858,623858,9
45000,639684,639684,9
46000,655391,655391,9
47000,671077,671077,9
48000,686600,686600,9
49000,702195,702195,9
50000,718206,718206,9
1000,8747,8747,10
2000,19351,19351,10
3000,30853,30853,10
4000,42802,42802,10
5000,55206,55206,10
6000,67872,67872,10
7000,80643,80643,10
8000,93718,93718,10
9000,107050,107050,10
10000,120515,120515,10
11000,134147,134147,10
12000,147746,147746,10
13000,161429,161429,10
14000,175280,175280,10
15000,189239,189239,10
16000,203256,203256,10
17000,217460,217460,10
18000,231884,231884,10
19000,246497,246497,10
20000,260684,260684,10
21000,275593,275593,10
22000,289878,289878,10
23000,304748,304748,10
24000,319217,319217,10
25000,334211,334211,10
26000,348828,348828,10
27000,363700,363700,10
28000,378599,378599,10
29000,393689,393689,10
30000,408481,408481,10
31000,423781,423781,10
32000,438501,438501,10
33000,453711,453711,10
34000,469142,469142,10
35000,484481,484481,10
36000,499875,499875,10
37000,515257,515257,10
38000,530748,530748,10
39000,546362,546362,10
40000,561869,561869,10
41000,577402,577402,10
42000,592923,592923,10
43000,608740,608740,10
44000,624166,624166,10
45000,639842,639842,10
46000,655317,655317,10
47000,671037,671037,10
48000,686724,686724,10
49000,702415,702415,10
50000,718354,718354,10
