n,c,s,trial
1000,10930,6070,1
2000,23323,11213,1
3000,40596,21842,1
4000,55450,27449,1
5000,69264,35795,1
6000,91217,44542,1
7000,100852,47011,1
8000,121174,57057,1
9000,150049,72210,1
10000,157739,71784,1
11000,169932,82411,1
12000,206797,101302,1
13000,209924,111375,1
14000,225590,112455,1
15000,252036,128342,1
16000,265610,122732,1
17000,290458,128860,1
18000,291338,138633,1
19000,311001,140811,1
20000,340391,193939,1
21000,358533,179611,1
22000,386220,182806,1
23000,384179,199733,1
24000,429860,196464,1
25000,449673,228089,1
26000,444869,217345,1
27000,484322,228392,1
28000,502684,245537,1
29000,532320,232015,1
30000,579235,291989,1
31000,532063,262121,1
32000,562571,259078,1
33000,620932,284782,1
34000,651658,359203,1
35000,644172,343513,1
36000,663403,324824,1
37000,658811,330490,1
38000,716217,379256,1
39000,679276,347648,1
40000,739731,389968,1
41000,754811,410404,1
42000,767194,377761,1
43000,770917,378022,1
44000,854274,426645,1
45000,797825,410122,1
46000,859069,450831,1
47000,844377,421415,1
48000,842378,429945,1
49000,926256,478219,1
50000,911128,514565,1
1000,10601,5364,2
2000,26239,13239,2
3000,36756,18257,2
4000,51910,23589,2
5000,69845,35882,2
6000,85514,43211,2
7000,102771,50718,2
8000,116409,58648,2
9000,141058,75710,2
10000,160221,79907,2
11000,171053,86694,2
12000,204239,111815,2
13000,215783,121321,2
14000,224236,109148,2
15000,253488,117224,2
16000,279099,137640,2
17000,281355,135060,2
18000,304250,162531,2
19000,329906,158664,2
20000,336529,175753,2
21000,338184,175416,2
22000,361281,186548,2
23000,427967,230895,2
24000,408014,209716,2
25000,428285,219636,2
26000,441613,232475,2
27000,468608,244931,2
28000,491594,264191,2
29000,507066,248507,2
30000,520566,270406,2
31000,576955,296362,2
32000,562541,275638,2
33000,590705,267356,2
34000,604458,303037,2
35000,627240,293734,2
36000,660923,323814,2
37000,702180,386697,2
38000,673685,330140,2
39000,708962,370700,2
40000,734737,355766,2
41000,762814,373545,2
42000,812427,377174,2
43000,808873,454893,2
44000,835191,439682,2
45000,815379,391049,2
46000,855010,425698,2
47000,884063,474551,2
48000,918875,446215,2
49000,904976,437093,2
50000,873780,454826,2
1000,10555,5299,3
2000,24572,12169,3
3000,37707,20284,3
4000,58270,29661,3
5000,69429,36989,3
6000,89920,46525,3
7000,101642,56373,3
8000,117606,60226,3
9000,139387,64330,3
10000,156792,75229,3
11000,166902,80485,3
12000,192004,105401,3
13000,211768,105292,3
14000,221561,114332,3
15000,250664,129679,3
16000,240794,117472,3
17000,299544,155274,3
18000,309953,168660,3
19000,345396,177540,3
20000,332652,169516,3
21000,348822,168784,3
22000,379247,184467,3
23000,379704,210056,3
24000,455487,211329,3
25000,437073,226444,3
26000,465715,234456,3
27000,486213,224644,3
28000,501219,261422,3
29000,521773,245215,3
30000,543810,262676,3
31000,533849,277796,3
32000,596701,301347,3
33000,584518,298302,3
34000,578733,288858,3
35000,614151,309312,3
36000,683522,344770,3
37000,647489,343417,3
38000,720785,372805,3
39000,698392,333603,3
40000,734046,396217,3
41000,757796,373732,3
42000,769818,355961,3
43000,818434,382562,3
44000,813665,436207,3
45000,801265,400095,3
46000,905851,462224,3
47000,876615,458766,3
48000,856656,443454,3
49000,887444,447510,3
50000,925472,475405,3
1000,11225,5742,4
2000,25270,12652,4
3000,39955,20151,4
4000,54030,27175,4
5000,68596,32453,4
6000,88762,40513,4
7000,103476,58353,4
8000,118173,62618,4
9000,146566,68633,4
10000,149041,77804,4
11000,193792,97457,4
12000,190343,93516,4
13000,212009,103075,4
14000,251911,123952,4
15000,234923,122799,4
16000,271920,145724,4
17000,293992,156621,4
18000,320091,167054,4
19000,317909,148778,4
20000,328273,156125,4
21000,361068,186650,4
22000,394656,209287,4
23000,396172,214801,4
24000,432285,201657,4
25000,438253,230677,4
26000,455485,251220,4
27000,493766,248997,4
28000,492949,241587,4
29000,510347,243851,4
30000,521574,286457,4
31000,545929,308995,4
32000,557045,284521,4
33000,600776,320866,4
34000,611224,331020,4
35000,612272,279755,4
36000,626508,333310,4
37000,651541,339572,4
38000,653771,344130,4
39000,689974,363269,4
40000,716290,372069,4
41000,759240,376686,4
42000,765318,365151,4
43000,823077,425760,4
44000,823651,430817,4
45000,867336,451398,4
46000,885611,415105,4
47000,926210,495101,4
48000,900564,452370,4
49000,890582,466027,4
50000,901254,435839,4
1000,10606,5054,5
2000,24421,12537,5
3000,41003,17701,5
4000,53284,27937,5
5000,70726,34435,5
6000,83208,42767,5
7000,107653,51850,5
8000,132401,68917,5
9000,132480,64690,5
10000,146159,75060,5
11000,162639,86290,5
12000,198244,96247,5
13000,214002,104564,5
14000,225043,119458,5
15000,240101,129054,5
16000,252301,130852,5
17000,291616,148005,5
18000,312733,149753,5
19000,318956,157449,5
20000,325230,160796,5
21000,356773,173468,5
22000,390796,185900,5
23000,422043,220859,5
24000,408042,201740,5
25000,437113,227755,5
26000,449610,225205,5
27000,476942,224349,5
28000,482340,237862,5
29000,533165,252317,5
30000,518502,254142,5
31000,554117,288439,5
32000,582914,282863,5
33000,583043,290793,5
34000,634071,336924,5
35000,620995,302940,5
36000,648410,340340,5
37000,638519,329865,5
38000,679496,325101,5
39000,677779,337753,5
40000,697103,353468,5
41000,763559,366427,5
42000,766222,422658,5
43000,798925,424476,5
44000,810786,437370,5
45000,814391,418627,5
46000,923863,452773,5
47000,852333,431503,5
48000,939427,426044,5
49000,903015,488399,5
50000,895445,448931,5
1000,11666,6315,6
2000,23149,11076,6
3000,40113,20170,6
4000,54422,27173,6
5000,72293,38549,6
6000,84487,44278,6
7000,99293,52547,6
8000,117085,54918,6
9000,152832,91740,6
10000,147379,69737,6
11000,177037,94574,6
12000,185549,95608,6
13000,210193,100757,6
14000,219053,108122,6
15000,230938,112250,6
16000,258263,131073,6
17000,283686,145628,6
18000,321969,175810,6
19000,343609,184151,6
20000,332122,164213,6
21000,345726,165052,6
22000,384602,203079,6
23000,395559,201754,6
24000,406899,223634,6
25000,419583,221647,6
26000,435558,222147,6
27000,472956,237159,6
28000,489977,229412,6
29000,545717,258123,6
30000,539291,262741,6
31000,579262,297612,6
32000,555779,279374,6
33000,627905,270597,6
34000,611857,276453,6
35000,614403,290948,6
36000,638445,306648,6
37000,637338,339953,6
38000,661935,324247,6
39000,681028,342881,6
40000,776594,368577,6
41000,737357,361620,6
42000,780541,382781,6
43000,793505,404247,6
44000,789438,390475,6
45000,822987,440108,6
46000,846351,419747,6
47000,822495,404224,6
48000,907668,417093,6
49000,970979,476063,6
50000,959331,497574,6
1000,11363,6689,7
2000,22979,11308,7
3000,41233,22478,7
4000,52655,26352,7
5000,68642,35886,7
6000,97260,52628,7
7000,96923,48719,7
8000,126875,61060,7
9000,140064,74611,7
10000,156282,78139,7
11000,169254,88813,7
12000,191210,93138,7
13000,203025,107217,7
14000,232974,122491,7
15000,241236,122231,7
16000,262447,131474,7
17000,295123,136887,7
18000,302699,163965,7
19000,314304,166079,7
20000,323456,162881,7
21000,368435,172387,7
22000,381279,190531,7
23000,380940,195255,7
24000,420876,209688,7
25000,435892,224282,7
26000,453179,221492,7
27000,456304,241880,7
28000,483381,237090,7
29000,536494,293879,7
30000,541423,252708,7
31000,566948,296046,7
32000,589380,289196,7
33000,618997,331537,7
34000,596530,320241,7
35000,638615,341013,7
36000,633476,309048,7
37000,675395,347622,7
38000,692184,342754,7
39000,684085,352666,7
40000,713050,353025,7
41000,756205,375429,7
42000,789336,382241,7
43000,763379,377616,7
44000,812854,446685,7
45000,879830,443152,7
46000,869600,445141,7
47000,881805,462701,7
48000,886523,447999,7
49000,900032,468438,7
50000,980027,459500,7
1000,12193,5885,8
2000,24695,12283,8
3000,40550,23022,8
4000,54283,26915,8
5000,71734,36166,8
6000,88395,44829,8
7000,105532,60085,8
8000,123613,60752,8
9000,138992,70261,8
10000,146723,74067,8
11000,166161,92536,8
12000,183334,103763,8
13000,210653,109107,8
14000,230218,117334,8
15000,267319,128832,8
16000,270670,140003,8
17000,287893,135276,8
18000,300632,156572,8
19000,329828,164989,8
20000,386839,200324,8
21000,347179,167664,8
22000,413618,227570,8
23000,386364,190839,8
24000,402888,211695,8
25000,454355,206900,8
26000,455159,231457,8
27000,473688,258920,8
28000,519031,264385,8
29000,512001,248933,8
30000,555267,299701,8
31000,550336,312806,8
32000,560612,295678,8
33000,567087,284310,8
34000,613714,308910,8
35000,632062,300670,8
36000,653571,313117,8
37000,681796,349663,8
38000,721087,352088,8
39000,758832,373093,8
40000,725924,372921,8
41000,789932,381436,8
42000,768832,409352,8
43000,812702,403545,8
44000,792278,405463,8
45000,846946,412875,8
46000,885800,384020,8
47000,878799,438517,8
48000,929375,412388,8
49000,996489,549039,8
50000,976345,476631,8
1000,11518,6088,9
2000,23236,11495,9
3000,38122,20714,9
4000,54559,26546,9
5000,69606,34972,9
6000,92197,45815,9
7000,97182,49107,9
8000,114084,56820,9
9000,141228,70923,9
10000,153931,78980,9
11000,167238,88490,9
12000,194669,104565,9
13000,205174,110754,9
14000,216542,110222,9
15000,249851,113415,9
16000,268312,143555,9
17000,281995,149272,9
18000,296434,158680,9
19000,317983,154850,9
20000,331627,167800,9
21000,342119,171599,9
22000,371775,191687,9
23000,396445,196513,9
24000,454398,252540,9
25000,416418,213489,9
26000,457310,252803,9
27000,447668,223777,9
28000,459568,240939,9
29000,530084,266859,9
30000,507236,266065,9
31000,536733,277706,9
32000,598545,274530,9
33000,606858,310132,9
34000,585484,313414,9
35000,626129,358027,9
36000,655568,311788,9
37000,686758,387625,9
38000,726104,347618,9
39000,708822,371678,9
40000,761668,327882,9
41000,736588,399463,9
42000,772123,381356,9
43000,805501,391367,9
44000,825678,427784,9
45000,834992,413390,9
46000,881166,449929,9
47000,986815,541175,9
48000,919524,496392,9
49000,899638,459060,9
50000,997244,487324,9
1000,10552,5379,10
2000,24369,13123,10
3000,39946,22454,10
4000,52594,25151,10
5000,71324,32063,10
6000,85786,44214,10
7000,105272,58880,10
8000,120348,58201,10
9000,137531,72982,10
10000,172003,89562,10
11000,171084,88999,10
12000,187073,89292,10
13000,216365,115449,10
14000,261194,122487,10
15000,238531,119789,10
16000,278070,139320,10
17000,293331,155035,10
18000,295851,147763,10
19000,355962,163999,10
20000,324617,174816,10
21000,348850,169960,10
