n,c,s,trial
1000,18180,8646,1
2000,40486,19477,1
3000,66004,31355,1
4000,88944,43028,1
5000,111816,54404,1
6000,144060,69057,1
7000,168239,80677,1
8000,193682,93599,1
9000,218559,105923,1
10000,262889,127746,1
11000,286425,137956,1
12000,311942,149895,1
13000,338204,162655,1
14000,364406,175289,1
15000,394764,192220,1
16000,419212,203274,1
17000,445653,216059,1
18000,473547,230540,1
19000,500272,243624,1
20000,566409,276313,1
21000,591116,286909,1
22000,617429,298496,1
23000,644870,311707,1
24000,671973,323847,1
25000,703031,340617,1
26000,729086,352021,1
27000,756318,364913,1
28000,785115,379080,1
29000,812926,392162,1
30000,849786,414524,1
31000,875412,426160,1
32000,903071,439326,1
33000,931774,453399,1
34000,959496,466867,1
35000,991545,483987,1
36000,1018488,496593,1
37000,1046554,510096,1
38000,1076536,525838,1
39000,1105571,539886,1
40000,1212544,592562,1
41000,1238746,603254,1
42000,1265640,614748,1
43000,1295043,628448,1
44000,1323011,641009,1
45000,1355079,657846,1
46000,1382646,669552,1
47000,1409565,681010,1
48000,1439453,695451,1
49000,1468422,708476,1
50000,1507041,732605,1
1000,18212,8642,2
2000,40458,19374,2
3000,65864,31360,2
4000,88770,42734,2
5000,121261,58759,2
6000,143911,68701,2
7000,168310,80838,2
8000,193855,93816,2
9000,218628,106034,2
10000,262843,127856,2
11000,286728,138254,2
12000,311986,150044,2
13000,338550,163034,2
14000,364446,175548,2
15000,395121,192766,2
16000,419575,203744,2
17000,445941,216433,2
18000,473331,230268,2
19000,500231,243768,2
20000,566268,276417,2
21000,590981,286502,2
22000,617539,298503,2
23000,644861,311309,2
24000,672068,323890,2
25000,703207,340773,2
26000,728539,351529,2
27000,756192,364542,2
28000,784974,378705,2
29000,812571,391995,2
30000,849663,415004,2
31000,875723,426245,2
32000,902785,438705,2
33000,931414,453171,2
34000,959230,466244,2
35000,991805,484265,2
36000,1018313,496341,2
37000,1046673,510037,2
38000,1076450,525773,2
39000,1105220,539409,2
40000,1211675,591708,2
41000,1238356,602850,2
42000,1266162,615037,2
43000,1295038,628690,2
44000,1323315,641649,2
45000,1354691,657406,2
46000,1381921,669244,2
47000,1409673,681003,2
48000,1439613,695559,2
49000,1468700,709377,2
50000,1505964,731155,2
1000,18227,8730,3
2000,40429,19422,3
3000,65986,31359,3
4000,88829,42898,3
5000,121279,58772,3
6000,143777,68785,3
7000,168162,80526,3
8000,193783,93901,3
9000,218747,106232,3
10000,243549,118649,3
11000,286494,137954,3
12000,312038,149959,3
13000,338600,163384,3
14000,364313,175542,3
15000,395069,192386,3
16000,419516,203416,3
17000,445846,216191,3
18000,473221,230177,3
19000,500303,243735,3
20000,566630,276567,3
21000,590980,286629,3
22000,617113,298283,3
23000,645090,311670,3
24000,671466,323557,3
25000,702841,340302,3
26000,728840,351553,3
27000,756427,364734,3
28000,784583,378895,3
29000,812593,392030,3
30000,849640,414549,3
31000,875414,425631,3
32000,903335,439258,3
33000,931461,453123,3
34000,959424,466397,3
35000,991690,483934,3
36000,1018562,496747,3
37000,1046604,510165,3
38000,1076655,525777,3
39000,1105482,540147,3
40000,1212971,592978,3
41000,1238765,603466,3
42000,1266033,614934,3
43000,1294435,627903,3
44000,1322723,640367,3
45000,1354786,656634,3
46000,1381790,668618,3
47000,1409991,681284,3
48000,1439817,695937,3
49000,1468725,709161,3
50000,1506109,730852,3
1000,18226,8742,4
2000,40458,19421,4
3000,66015,31434,4
4000,88916,42873,4
5000,121265,58669,4
6000,143898,68869,4
7000,168206,80686,4
8000,193583,93591,4
9000,218683,106137,4
10000,243579,118653,4
11000,286401,137795,4
12000,312015,150054,4
13000,338341,162842,4
14000,364339,175582,4
15000,394967,192587,4
16000,419461,203346,4
17000,445734,216456,4
18000,473317,230298,4
19000,500132,243752,4
20000,566857,277020,4
21000,591418,286870,4
22000,617450,298573,4
23000,645102,311424,4
24000,671957,323890,4
25000,703350,340911,4
26000,728759,351680,4
27000,756175,364860,4
28000,784513,378715,4
29000,812865,392435,4
30000,849577,414704,4
31000,875547,426002,4
32000,903067,439204,4
33000,931586,452928,4
34000,959519,466596,4
35000,991991,484418,4
36000,1018573,496753,4
37000,1046809,509978,4
38000,1076840,525600,4
39000,1105433,539898,4
40000,1212682,592906,4
41000,1238995,603621,4
42000,1266643,615243,4
43000,1294882,628234,4
44000,1322605,640323,4
45000,1354390,656725,4
46000,1381996,668902,4
47000,1410090,681353,4
48000,1439464,695716,4
49000,1468583,709086,4
50000,1505974,730830,4
1000,18219,8730,5
2000,40448,19451,5
3000,65935,31332,5
4000,88790,42959,5
5000,111735,54321,5
6000,144130,69040,5
7000,168036,80628,5
8000,193639,93772,5
9000,218453,105927,5
10000,262911,127774,5
11000,286593,137879,5
12000,311893,149964,5
13000,338433,162904,5
14000,364387,175156,5
15000,394546,192018,5
16000,419562,203402,5
17000,445818,216322,5
18000,473151,230177,5
19000,500097,243468,5
20000,566169,276194,5
21000,590980,286386,5
22000,617557,298565,5
23000,645078,311609,5
24000,671857,323984,5
25000,703056,340751,5
26000,729385,352730,5
27000,756199,364623,5
28000,784966,379050,5
29000,812760,392467,5
30000,849909,415274,5
31000,875452,426060,5
32000,902781,439019,5
33000,931511,452719,5
34000,959330,466394,5
35000,991078,483324,5
36000,1018155,496222,5
37000,1046907,510441,5
38000,1076762,525916,5
39000,1105334,539782,5
40000,1212738,592461,5
41000,1238914,603306,5
42000,1266430,615658,5
43000,1294548,627944,5
44000,1322919,641084,5
45000,1355139,657386,5
46000,1381576,668761,5
47000,1409515,681064,5
48000,1439824,696057,5
49000,1468581,709029,5
50000,1505891,730841,5
1000,18266,8733,6
2000,40476,19522,6
3000,65933,31446,6
4000,88819,42772,6
5000,121053,58417,6
6000,143885,68867,6
7000,168223,80735,6
8000,193666,93592,6
9000,218628,106095,6
10000,262893,127957,6
11000,286566,138109,6
12000,311792,149543,6
13000,338532,162889,6
14000,364396,175439,6
15000,394743,192201,6
16000,419544,203570,6
17000,445770,216283,6
18000,473261,230241,6
19000,500286,243851,6
20000,566403,276312,6
21000,591460,286988,6
22000,617332,298307,6
23000,644957,311762,6
24000,671891,323644,6
25000,703205,340606,6
26000,728792,351811,6
27000,756032,364562,6
28000,784726,378549,6
29000,812458,391915,6
30000,850126,414932,6
31000,875818,426520,6
32000,902952,438820,6
33000,931689,453351,6
34000,959280,466540,6
35000,991909,484329,6
36000,1018467,496596,6
37000,1046719,510454,6
38000,1076433,525679,6
39000,1105459,539865,6
40000,1211334,591049,6
41000,1238818,602928,6
42000,1265935,614711,6
43000,1295273,628949,6
44000,1322702,640517,6
45000,1354547,657053,6
46000,1382013,669347,6
47000,1409865,681224,6
48000,1439452,695420,6
49000,1468386,708872,6
50000,1505604,730580,6
1000,18184,8695,7
2000,40471,19404,7
3000,65897,31409,7
4000,88837,42867,7
5000,121369,58921,7
6000,144037,68943,7
7000,168163,80680,7
8000,193702,93816,7
9000,218709,106180,7
10000,262114,126941,7
11000,286522,138292,7
12000,312001,149945,7
13000,338280,162833,7
14000,364236,175306,7
15000,394916,192757,7
16000,419157,203283,7
17000,445648,216135,7
18000,473216,230218,7
19000,500189,243585,7
20000,566296,276177,7
21000,591189,286593,7
22000,617102,297909,7
23000,644784,311317,7
24000,671743,323642,7
25000,702353,339670,7
26000,728641,351679,7
27000,756020,364460,7
28000,784897,378544,7
29000,812758,392086,7
30000,840923,406332,7
31000,875551,425948,7
32000,902911,439009,7
33000,931780,453021,7
34000,959327,466499,7
35000,987590,480078,7
36000,1019333,497605,7
37000,1046691,510059,7
38000,1076654,525811,7
39000,1105298,539734,7
40000,1212144,592025,7
41000,1239021,603166,7
42000,1266119,615013,7
43000,1294598,628242,7
44000,1323234,640994,7
45000,1354479,656607,7
46000,1382078,669288,7
47000,1410436,682156,7
48000,1439687,695680,7
49000,1468283,708627,7
50000,1506055,731352,7
1000,18196,8709,8
2000,40394,19369,8
3000,65886,31312,8
4000,88934,42892,8
5000,121260,58798,8
6000,143847,68971,8
7000,168277,80630,8
8000,193661,93899,8
9000,218754,106286,8
10000,243520,118797,8
11000,286769,138094,8
12000,311876,149788,8
13000,338649,163013,8
14000,364460,175537,8
15000,394859,192246,8
16000,419291,203198,8
17000,445662,216150,8
18000,473347,230093,8
19000,500205,243691,8
20000,527170,256945,8
21000,590921,286592,8
22000,617453,298678,8
23000,645274,311749,8
24000,671580,323653,8
25000,699160,336655,8
26000,729033,352049,8
27000,756075,364616,8
28000,784982,378973,8
29000,812573,391996,8
30000,849450,414233,8
31000,875572,426376,8
32000,903126,439124,8
33000,931612,452963,8
34000,959062,466153,8
35000,991383,483626,8
36000,1018434,496320,8
37000,1046829,510189,8
38000,1076641,525545,8
39000,1105406,539801,8
40000,1212522,592518,8
41000,1238764,603050,8
42000,1266269,615530,8
43000,1294636,627962,8
44000,1322969,640962,8
45000,1354454,657210,8
46000,1382209,669334,8
47000,1410223,682205,8
48000,1439538,695660,8
49000,1468832,709502,8
50000,1506542,731510,8
1000,18195,8736,9
2000,40461,19477,9
3000,65937,31465,9
4000,88889,42789,9
5000,121126,58618,9
6000,143911,68814,9
7000,168368,80861,9
8000,193647,93784,9
9000,218631,106187,9
10000,263051,127987,9
11000,286427,137864,9
12000,312017,150064,9
13000,338866,163388,9
14000,364245,175398,9
15000,394463,191977,9
16000,419426,203385,9
17000,445785,216276,9
18000,473520,230731,9
19000,500149,243663,9
20000,566006,276040,9
21000,591000,286785,9
22000,617411,298546,9
23000,644853,311052,9
24000,671668,323716,9
25000,702431,339794,9
26000,728902,351509,9
27000,756165,364503,9
28000,784959,378772,9
29000,812531,391934,9
30000,850426,415310,9
31000,875509,426075,9
32000,903194,439318,9
33000,931368,452968,9
34000,959551,466664,9
35000,991473,483908,9
36000,1019329,497441,9
37000,1046837,510443,9
38000,1076644,525643,9
39000,1105433,539905,9
40000,1212828,592723,9
41000,1238998,603503,9
42000,1266200,615304,9
43000,1294531,627781,9
44000,1322512,640432,9
45000,1350909,653375,9
46000,1381594,668202,9
47000,1410504,682040,9
48000,1440524,696587,9
49000,1468596,708898,9
50000,1506178,731080,9
1000,18190,8748,10
2000,40449,19519,10
3000,65922,31419,10
4000,88824,42872,10
5000,121380,58806,10
6000,143972,69169,10
7000,168123,80497,10
8000,193661,93654,10
9000,218601,105989,10
10000,243605,118547,10
11000,286660,138121,10
12000,311991,150078,10
13000,338494,162894,10
14000,364464,175465,10
15000,394427,192072,10
16000,419459,203635,10
17000,445685,215876,10
18000,473250,230193,10
19000,500389,244043,10
20000,566088,276201,10
21000,590727,286036,10
22000,617136,297843,10
23000,645023,311750,10
24000,671901,323758,10
25000,702577,340026,10
26000,729005,352046,10
27000,756014,364544,10
28000,784794,378929,10
29000,812746,392236,10
30000,840734,405532,10
31000,875681,425887,10
32000,902688,438935,10
33000,931603,453099,10
34000,959525,466339,10
35000,987545,480036,10
36000,1018473,496549,10
37000,1046712,510377,10
38000,1076594,525271,10
39000,1105297,539736,10
40000,1212633,592628,10
41000,1238998,603980,10
42000,1265917,614922,10
43000,1295379,628730,10
44000,1322910,640551,10
45000,1354955,657389,10
46000,1381270,667604,10
47000,1410430,682100,10
48000,1440101,695965,10
49000,1469014,709549,10
50000,1505927,730652,10
