n,c,s,trial
1000,11860,4030,1
2000,23568,9550,1
3000,38208,14175,1
4000,54193,17251,1
5000,66140,24458,1
6000,81216,33451,1
7000,97694,38080,1
8000,109437,41118,1
9000,130589,47794,1
10000,148711,61085,1
11000,164345,58501,1
12000,196180,66606,1
13000,195222,72874,1
14000,218902,76597,1
15000,228167,94196,1
16000,241134,87324,1
17000,269320,95918,1
18000,285718,108788,1
19000,301762,118285,1
20000,338002,117328,1
21000,356594,136040,1
22000,353006,129947,1
23000,355835,133995,1
24000,395971,152357,1
25000,436698,138285,1
26000,431352,145596,1
27000,426071,169532,1
28000,451205,166831,1
29000,469274,179025,1
30000,482853,194953,1
31000,538855,194711,1
32000,533565,194361,1
33000,598743,208033,1
34000,556290,217200,1
35000,636532,204742,1
36000,604155,216096,1
37000,625956,232313,1
38000,635083,248656,1
39000,652365,261169,1
40000,676269,239347,1
41000,684566,258861,1
42000,730917,278022,1
43000,773488,258114,1
44000,737931,291815,1
45000,768194,296566,1
46000,806083,320107,1
47000,806331,318491,1
48000,834842,319292,1
49000,854948,305359,1
50000,878025,330165,1
1000,10331,4278,2
2000,23552,8966,2
3000,37845,13986,2
4000,58386,17483,2
5000,68694,30894,2
6000,79162,29812,2
7000,98720,38984,2
8000,110706,40757,2
9000,134062,54699,2
10000,146788,52742,2
11000,161126,56321,2
12000,183086,77485,2
13000,197502,70780,2
14000,215517,79201,2
15000,225418,89493,2
16000,236289,91547,2
17000,272296,108261,2
18000,276030,106068,2
19000,291792,111860,2
20000,307583,118848,2
21000,338673,141107,2
22000,347673,134664,2
23000,369588,146425,2
24000,374158,139512,2
25000,406542,135994,2
26000,426872,164302,2
27000,435258,169401,2
28000,453130,168179,2
29000,519511,173662,2
30000,521073,173954,2
31000,519443,182652,2
32000,546065,195263,2
33000,537946,201754,2
34000,549693,204979,2
35000,578780,220232,2
36000,616974,208909,2
37000,621609,229409,2
38000,666034,258261,2
39000,660874,251059,2
40000,706489,263981,2
41000,701273,257392,2
42000,717237,267633,2
43000,736591,255022,2
44000,743871,299728,2
45000,795987,270672,2
46000,792904,321911,2
47000,850738,336573,2
48000,860538,285822,2
49000,853628,335951,2
50000,873580,334305,2
1000,10383,3758,3
2000,22857,8448,3
3000,38733,13156,3
4000,51606,18557,3
5000,67545,24455,3
6000,80491,33183,3
7000,101442,37211,3
8000,132625,41418,3
9000,130251,56288,3
10000,144011,58375,3
11000,160869,62522,3
12000,179979,69217,3
13000,191504,71707,3
14000,214201,84303,3
15000,227413,84670,3
16000,247787,87083,3
17000,263587,102551,3
18000,304695,106717,3
19000,304924,109958,3
20000,338084,110863,3
21000,339316,130437,3
22000,353053,136968,3
23000,371670,155166,3
24000,398964,145962,3
25000,414801,148846,3
26000,431205,147283,3
27000,434699,167917,3
28000,448102,163158,3
29000,480929,171717,3
30000,490565,199340,3
31000,509287,190472,3
32000,537139,198122,3
33000,564745,212698,3
34000,557624,206151,3
35000,606365,201285,3
36000,592009,212068,3
37000,625785,243289,3
38000,647704,245649,3
39000,651444,243182,3
40000,660900,251981,3
41000,697876,258259,3
42000,703868,288896,3
43000,754776,264339,3
44000,749996,308634,3
45000,775136,305239,3
46000,798736,305325,3
47000,817130,293222,3
48000,882706,298340,3
49000,844914,332365,3
50000,960816,302898,3
1000,9976,4021,4
2000,24414,9109,4
3000,35562,14392,4
4000,52329,20410,4
5000,64989,24502,4
6000,84878,30203,4
7000,98140,38056,4
8000,120514,39803,4
9000,133203,48720,4
10000,147497,55133,4
11000,163079,64188,4
12000,192680,60974,4
13000,193708,78419,4
14000,211456,90797,4
15000,227951,85766,4
16000,255431,81560,4
17000,258493,100825,4
18000,283991,101888,4
19000,298028,116363,4
20000,305245,116247,4
21000,329046,120721,4
22000,361852,127111,4
23000,385190,149011,4
24000,391052,141283,4
25000,405505,151934,4
26000,422718,161285,4
27000,448424,165887,4
28000,462119,168437,4
29000,461619,173949,4
30000,487884,181755,4
31000,512678,189904,4
32000,545186,203196,4
33000,529108,196989,4
34000,561934,220311,4
35000,592835,240079,4
36000,611651,236070,4
37000,613089,226953,4
38000,660872,242611,4
39000,655735,253820,4
40000,669791,250758,4
41000,716928,257074,4
42000,695549,261870,4
43000,738488,273181,4
44000,770303,286962,4
45000,788664,303414,4
46000,788981,301723,4
47000,845951,309900,4
48000,840853,323650,4
49000,884341,303936,4
50000,904569,345124,4
1000,10390,3757,5
2000,22579,8536,5
3000,36945,16315,5
4000,52394,17949,5
5000,65525,25143,5
6000,83025,34317,5
7000,97043,39049,5
8000,116502,41551,5
9000,133187,49913,5
10000,149060,52405,5
11000,161659,59188,5
12000,185440,69423,5
13000,197836,72324,5
14000,216519,85929,5
15000,220974,86354,5
16000,257240,88909,5
17000,262938,113553,5
18000,280294,108598,5
19000,285085,106552,5
20000,306295,111406,5
21000,332696,122407,5
22000,341232,135220,5
23000,367128,132775,5
24000,382908,140249,5
25000,397118,151803,5
26000,413398,152559,5
27000,438382,162845,5
28000,449591,171550,5
29000,476491,189349,5
30000,527001,178816,5
31000,518437,193488,5
32000,535889,188701,5
33000,558376,199588,5
34000,567275,229160,5
35000,585207,221569,5
36000,596838,240713,5
37000,623126,232684,5
38000,651185,225930,5
39000,647313,243228,5
40000,699501,245303,5
41000,711984,252833,5
42000,741372,270722,5
