n,c,s,trial
1000,10496,4697,1
2000,25773,13758,1
3000,39090,20878,1
4000,58618,25370,1
5000,70158,31838,1
6000,89722,38532,1
7000,101179,46806,1
8000,117160,52354,1
9000,134141,64285,1
10000,156793,74443,1
11000,164820,81262,1
12000,188781,79601,1
13000,210070,107011,1
14000,223664,102259,1
15000,246504,123420,1
16000,279595,118838,1
17000,288226,120999,1
18000,291444,147280,1
19000,307341,136992,1
20000,332351,159366,1
21000,341722,158672,1
22000,375691,192083,1
23000,378882,164431,1
24000,426389,228532,1
25000,433296,190334,1
26000,462360,210411,1
27000,491518,216645,1
28000,475961,216418,1
29000,499778,214809,1
30000,521360,243331,1
31000,573757,261000,1
32000,562486,261473,1
33000,578949,267586,1
34000,611137,284364,1
35000,704187,323202,1
36000,640585,273515,1
37000,678762,327541,1
38000,691574,329563,1
39000,695825,307832,1
40000,704227,347524,1
41000,754721,367720,1
42000,760099,364544,1
43000,789414,385249,1
44000,797433,344618,1
45000,807518,364230,1
46000,901160,363452,1
47000,853210,443625,1
48000,894022,412607,1
49000,885473,461355,1
50000,976700,490825,1
1000,11415,5035,2
2000,25289,12268,2
3000,38875,18483,2
4000,57459,27583,2
5000,68239,30433,2
6000,86620,41601,2
7000,107884,42331,2
8000,119321,57151,2
9000,152527,81720,2
10000,147499,68498,2
11000,179031,97681,2
12000,186731,86753,2
13000,203416,104720,2
14000,223147,100087,2
15000,251896,117800,2
16000,261209,122800,2
17000,290198,149008,2
18000,307757,139623,2
19000,307243,143874,2
20000,333399,164904,2
21000,352892,173251,2
22000,367384,173012,2
23000,391470,188435,2
24000,475835,218038,2
25000,410653,199665,2
26000,448718,213435,2
27000,482497,236252,2
28000,479554,232779,2
29000,514365,242752,2
30000,510460,247542,2
31000,549870,274710,2
32000,561477,264360,2
33000,583441,273247,2
34000,627254,295756,2
35000,624534,306917,2
36000,658661,321077,2
37000,664708,311740,2
38000,686011,329566,2
39000,719059,324300,2
40000,737519,322290,2
41000,782293,338058,2
42000,778771,357791,2
43000,781169,381562,2
44000,806426,353240,2
45000,813284,399526,2
46000,882871,460648,2
47000,828354,371444,2
48000,898692,464775,2
49000,898731,422855,2
50000,925442,456942,2
1000,10892,4794,3
2000,24303,12350,3
3000,40540,18509,3
4000,53756,26893,3
5000,70384,29469,3
6000,88497,41272,3
7000,107833,50657,3
8000,119241,48997,3
9000,138599,68170,3
10000,146526,69338,3
11000,175702,91192,3
12000,182467,85923,3
13000,214304,111339,3
14000,220935,107010,3
15000,245648,111105,3
16000,258948,116726,3
17000,271984,124914,3
18000,301550,153134,3
19000,309893,130610,3
20000,342877,159083,3
21000,361066,164185,3
22000,377307,177503,3
23000,380360,192363,3
24000,407478,196837,3
25000,438069,199968,3
26000,474778,208803,3
27000,467733,202721,3
28000,492751,249312,3
29000,487962,229940,3
30000,520918,255308,3
31000,541481,258068,3
32000,571776,270987,3
33000,591237,244851,3
34000,624836,289405,3
35000,603671,271748,3
36000,636946,311559,3
37000,704299,298168,3
38000,667053,319951,3
39000,733357,337931,3
40000,721580,339105,3
41000,723305,361177,3
42000,752947,346350,3
43000,760721,324131,3
44000,821671,366312,3
45000,812074,361965,3
46000,857566,392855,3
47000,893388,381851,3
48000,887686,404595,3
49000,917264,428235,3
50000,935332,428021,3
1000,11259,4831,4
2000,23874,9739,4
3000,40124,22105,4
4000,56627,28266,4
5000,67838,28797,4
6000,89764,39241,4
7000,105556,46034,4
8000,129659,66306,4
9000,132459,63172,4
10000,152165,63121,4
11000,174443,79947,4
12000,183764,85530,4
13000,207949,94866,4
14000,236355,117997,4
15000,241985,112077,4
16000,253092,124889,4
17000,281747,125893,4
18000,310869,142641,4
19000,353040,171283,4
20000,345955,159532,4
21000,355285,173279,4
22000,379912,160945,4
23000,392803,175957,4
24000,414276,196443,4
25000,416017,190477,4
26000,446707,206081,4
27000,481112,210243,4
28000,492415,237966,4
29000,509305,228043,4
30000,512807,233818,4
31000,562720,246750,4
32000,583352,261374,4
33000,580121,274311,4
34000,596284,296044,4
35000,643953,310755,4
36000,633417,305734,4
37000,712368,332368,4
38000,685905,324407,4
39000,708309,349047,4
40000,739565,348916,4
41000,762980,380036,4
42000,768828,355198,4
43000,790306,427558,4
44000,786955,370886,4
45000,848846,346805,4
46000,871805,382416,4
47000,925486,433215,4
48000,888306,418307,4
49000,895101,419349,4
50000,975216,418764,4
1000,11197,4973,5
2000,25947,10569,5
3000,41507,17873,5
4000,59620,27839,5
5000,75907,35458,5
6000,94804,48514,5
7000,109003,43080,5
8000,128451,57070,5
9000,142389,60370,5
10000,150788,72386,5
11000,166713,75459,5
12000,198570,89663,5
13000,200474,91046,5
14000,229025,115029,5
15000,232574,105587,5
16000,267118,122185,5
17000,302823,165853,5
18000,291504,131181,5
19000,327790,164719,5
20000,322335,147825,5
21000,343722,156180,5
22000,392359,214226,5
23000,392109,176712,5
24000,391731,181642,5
25000,437699,211581,5
26000,452639,191991,5
27000,459625,218161,5
