n,c,trial
100,425,1
200,423,1
300,520,1
400,454,1
500,637,1
600,481,1
700,371,1
800,415,1
900,497,1
1000,420,1
1100,358,1
1200,423,1
1300,399,1
1400,414,1
1500,561,1
1600,535,1
1700,471,1
1800,532,1
1900,522,1
2000,514,1
2100,467,1
2200,779,1
2300,500,1
2400,464,1
2500,588,1
2600,966,1
2700,449,1
2800,620,1
2900,440,1
3000,301,1
3100,301,1
3200,358,1
3300,369,1
3400,406,1
3500,349,1
3600,355,1
3700,423,1
3800,509,1
3900,508,1
4000,364,1
4100,543,1
4200,536,1
4300,493,1
4400,521,1
4500,420,1
4600,429,1
4700,481,1
4800,227,1
4900,479,1
5000,459,1
5100,550,1
5200,506,1
5300,459,1
5400,586,1
5500,429,1
5600,669,1
5700,467,1
5800,582,1
5900,441,1
6000,1092,1
6100,539,1
6200,594,1
6300,615,1
6400,517,1
6500,519,1
6600,504,1
6700,581,1
6800,512,1
6900,590,1
7000,489,1
7100,491,1
7200,517,1
7300,415,1
7400,662,1
7500,489,1
7600,512,1
7700,551,1
7800,358,1
7900,426,1
8000,464,1
8100,449,1
8200,741,1
8300,630,1
8400,480,1
8500,575,1
8600,525,1
8700,626,1
8800,647,1
8900,575,1
9000,662,1
9100,527,1
9200,724,1
9300,604,1
9400,517,1
9500,523,1
9600,572,1
9700,543,1
9800,651,1
9900,519,1
10000,662,1
10100,633,1
10200,429,1
10300,528,1
10400,579,1
10500,512,1
10600,332,1
10700,366,1
10800,714,1
10900,465,1
11000,583,1
11100,495,1
11200,555,1
11300,559,1
11400,409,1
11500,476,1
11600,506,1
11700,470,1
11800,371,1
11900,528,1
12000,545,1
12100,643,1
12200,692,1
12300,492,1
12400,501,1
12500,587,1
12600,547,1
12700,542,1
12800,430,1
12900,537,1
13000,555,1
13100,654,1
13200,551,1
13300,531,1
13400,528,1
13500,632,1
13600,622,1
13700,572,1
13800,352,1
13900,563,1
14000,585,1
14100,502,1
14200,562,1
14300,486,1
14400,601,1
14500,406,1
14600,502,1
14700,583,1
14800,355,1
14900,571,1
15000,477,1
15100,485,1
15200,472,1
15300,406,1
15400,185,1
15500,425,1
15600,633,1
15700,416,1
15800,352,1
15900,384,1
16000,352,1
16100,330,1
16200,455,1
16300,397,1
16400,706,1
16500,774,1
16600,517,1
16700,469,1
16800,484,1
16900,698,1
17000,625,1
17100,373,1
17200,881,1
17300,582,1
17400,529,1
17500,609,1
17600,314,1
17700,389,1
17800,627,1
17900,503,1
18000,530,1
18100,463,1
18200,564,1
18300,622,1
18400,519,1
18500,571,1
18600,550,1
18700,245,1
18800,474,1
18900,692,1
19000,327,1
19100,1232,1
19200,635,1
19300,426,1
19400,586,1
19500,668,1
19600,368,1
19700,447,1
19800,365,1
19900,634,1
20000,356,1
20100,669,1
20200,644,1
