n,c,s,trial
1000,10104,5596,1
2000,22948,12691,1
3000,37627,21297,1
4000,51906,28709,1
5000,66479,36202,1
6000,83628,46345,1
7000,99632,54848,1
8000,111171,60317,1
9000,132042,71213,1
10000,149334,80793,1
11000,164220,89399,1
12000,182472,99019,1
13000,196412,106531,1
14000,218496,120550,1
15000,233529,126684,1
16000,253576,136969,1
17000,268036,143826,1
18000,287676,155402,1
19000,307719,166739,1
20000,328870,177415,1
21000,345340,187005,1
22000,359518,193227,1
23000,382584,206299,1
24000,398519,214933,1
25000,419914,225299,1
26000,431125,232035,1
27000,459762,249689,1
28000,469806,252919,1
29000,496137,267595,1
30000,519941,279560,1
31000,528566,284248,1
32000,542166,291437,1
33000,569220,307130,1
34000,594203,319341,1
35000,617746,332493,1
36000,627157,336276,1
37000,653272,351568,1
38000,667350,360901,1
39000,695106,372422,1
40000,704937,378573,1
41000,729819,393149,1
42000,747800,402822,1
43000,770764,414019,1
44000,789883,425838,1
45000,809566,435603,1
46000,831376,447757,1
47000,853727,460060,1
48000,867868,465765,1
49000,884383,474980,1
50000,919130,494867,1
1000,10208,5709,2
2000,23411,13052,2
3000,37252,20794,2
4000,52162,28409,2
5000,69058,37900,2
6000,82435,45025,2
7000,98983,53982,2
8000,113624,61663,2
9000,131452,71603,2
10000,146339,79737,2
11000,165277,89955,2
12000,183757,99699,2
13000,199727,109789,2
14000,219031,119128,2
15000,230564,126255,2
16000,250681,136975,2
17000,274665,150086,2
18000,295244,159859,2
19000,310321,166978,2
20000,324912,174830,2
21000,346887,187589,2
22000,367970,199535,2
23000,386077,209516,2
24000,402719,217839,2
25000,415048,224060,2
26000,443043,241201,2
27000,454427,245775,2
28000,481156,260378,2
29000,489438,264693,2
30000,509320,275407,2
31000,530931,286342,2
32000,549103,297379,2
33000,554291,298019,2
34000,585429,313725,2
35000,616086,330838,2
36000,617861,332463,2
37000,650714,350272,2
38000,668303,363470,2
39000,680555,368224,2
40000,704441,379801,2
41000,734031,395509,2
42000,752314,405393,2
43000,775901,417623,2
44000,785068,422165,2
45000,818005,439424,2
46000,828483,444647,2
47000,847300,455266,2
48000,870647,467126,2
49000,884333,476051,2
50000,911823,488926,2
1000,10554,5803,3
2000,23398,12853,3
3000,36722,20207,3
4000,52885,29026,3
5000,67721,37244,3
6000,83582,46019,3
7000,98894,54311,3
8000,116459,63139,3
9000,131744,71529,3
10000,148277,80553,3
11000,167069,91018,3
12000,183183,99269,3
13000,199011,108468,3
14000,215363,116712,3
15000,234869,127157,3
16000,250011,135136,3
17000,272702,148536,3
18000,290391,156511,3
19000,306480,165360,3
20000,327235,176428,3
21000,340872,184475,3
22000,363097,196304,3
23000,381980,205323,3
24000,401099,217488,3
25000,415452,224253,3
26000,439180,239871,3
27000,457963,247458,3
28000,479394,259137,3
29000,496512,266887,3
30000,517045,278414,3
31000,538549,292189,3
32000,554422,299707,3
33000,573346,310733,3
34000,593458,320466,3
35000,601509,323159,3
36000,630169,338433,3
37000,659245,353809,3
38000,651043,348686,3
39000,696142,376263,3
40000,702568,378050,3
41000,736231,394720,3
42000,752372,406488,3
43000,775319,419099,3
44000,798972,430372,3
45000,811533,436392,3
46000,831770,447030,3
47000,851584,457321,3
48000,874495,470599,3
49000,901435,485093,3
50000,906095,487036,3
1000,9823,5335,4
2000,23762,13175,4
3000,36639,20283,4
4000,51663,28184,4
5000,67212,36799,4
6000,81051,44069,4
7000,100144,54676,4
8000,115911,63618,4
9000,134190,73456,4
10000,147388,79779,4
11000,166140,90845,4
12000,186098,102940,4
13000,197800,107431,4
14000,218821,122165,4
15000,234011,126959,4
16000,253552,137232,4
17000,272555,147941,4
18000,288040,155108,4
19000,307550,166658,4
20000,328110,178839,4
21000,348910,189831,4
22000,368224,199356,4
23000,382799,205898,4
24000,394164,212397,4
25000,418834,225903,4
26000,435523,234434,4
27000,465838,254644,4
28000,474300,254703,4
29000,495452,266182,4
30000,507676,272768,4
31000,537986,289531,4
32000,554446,299526,4
33000,581020,314344,4
34000,594734,322088,4
35000,615082,331891,4
36000,625473,334666,4
37000,653696,350184,4
38000,672810,361607,4
39000,693824,371779,4
40000,702793,377581,4
41000,731231,392232,4
42000,757193,407700,4
43000,773376,417227,4
44000,796717,429526,4
45000,811292,437145,4
46000,834364,449130,4
47000,854087,458729,4
48000,867239,465688,4
49000,888145,476551,4
50000,912077,490984,4
1000,10066,5601,5
2000,23492,12852,5
3000,37110,20592,5
4000,50841,27561,5
