n,c,s,trial
1000,8349,3913,1
2000,18715,8797,1
3000,29894,14236,1
4000,41383,19699,1
5000,53333,25177,1
6000,65662,31303,1
7000,78278,37295,1
8000,90922,43192,1
9000,103805,49514,1
10000,116822,55791,1
11000,129991,62148,1
12000,143351,68757,1
13000,156722,74769,1
14000,170280,81125,1
15000,184166,87498,1
16000,197891,93777,1
17000,211752,101240,1
18000,225696,107593,1
19000,239743,114612,1
20000,253777,121490,1
21000,267920,127526,1
22000,282308,134557,1
23000,296466,142015,1
24000,310846,149537,1
25000,325166,156169,1
26000,339707,162311,1
27000,354276,169330,1
28000,368938,177233,1
29000,383544,183560,1
30000,398167,190351,1
31000,413045,198575,1
32000,427815,203074,1
33000,442450,212428,1
34000,457443,219326,1
35000,472475,225438,1
36000,487137,233269,1
37000,502290,241460,1
38000,517374,249017,1
39000,532438,255136,1
40000,547536,262644,1
41000,562809,269418,1
42000,577958,276448,1
43000,593136,283157,1
44000,608420,291343,1
45000,623889,299312,1
46000,638973,306861,1
47000,654216,315116,1
48000,669696,322721,1
49000,685117,330187,1
50000,700387,336440,1
1000,8344,3888,2
2000,18734,8771,2
3000,29810,14167,2
4000,41442,19374,2
5000,53352,25484,2
6000,65679,31375,2
7000,78275,36958,2
8000,90950,43131,2
9000,103865,49525,2
10000,116835,55818,2
11000,130115,62047,2
12000,143394,68233,2
13000,156922,75018,2
14000,170576,81171,2
15000,184158,87594,2
16000,197770,94817,2
17000,211651,101175,2
18000,225587,107620,2
19000,239591,114962,2
20000,253751,121067,2
21000,268046,128325,2
22000,282165,135335,2
23000,296419,141751,2
24000,310815,149138,2
25000,325387,155782,2
26000,339767,162470,2
27000,354068,170707,2
28000,368840,176836,2
29000,383706,183754,2
30000,398229,191246,2
31000,413116,197733,2
32000,427710,204692,2
33000,442291,211437,2
34000,457555,218667,2
35000,472289,225742,2
36000,487304,233299,2
37000,502375,240406,2
38000,517530,246449,2
39000,532406,255894,2
40000,547351,263785,2
41000,562540,269323,2
42000,578126,276118,2
43000,593099,284255,2
44000,608508,291592,2
45000,623601,299610,2
46000,638871,307313,2
47000,654572,314578,2
48000,670041,321448,2
49000,684986,329116,2
50000,700204,336770,2
1000,8365,3958,3
2000,18718,8805,3
3000,29862,14216,3
4000,41544,19778,3
5000,53352,25278,3
6000,65661,31214,3
7000,78140,36968,3
8000,90933,43331,3
9000,103888,48890,3
10000,116788,55824,3
11000,130205,62537,3
12000,143442,68869,3
13000,156811,74827,3
14000,170541,80857,3
15000,184068,87847,3
16000,197804,94821,3
17000,211836,100860,3
18000,225678,107673,3
19000,239693,114988,3
20000,253599,121583,3
21000,267923,128180,3
22000,282280,134937,3
23000,296504,142537,3
24000,310666,149349,3
25000,325093,156458,3
26000,339854,162349,3
27000,354034,170031,3
28000,368904,176340,3
29000,383647,183079,3
30000,398231,191040,3
31000,413154,197993,3
32000,427949,204830,3
33000,442656,212099,3
34000,457415,219529,3
35000,472291,225973,3
36000,487382,233673,3
37000,502150,241035,3
38000,516983,248129,3
39000,532720,256019,3
40000,547689,263662,3
41000,562911,270069,3
42000,577931,277012,3
43000,593106,284475,3
44000,608300,292378,3
45000,623690,300104,3
46000,638844,307615,3
47000,654556,315174,3
48000,669417,323307,3
49000,684890,329389,3
50000,700515,334885,3
1000,8360,3818,4
2000,18746,8919,4
3000,29840,14176,4
4000,41466,19525,4
5000,53434,25156,4
6000,65634,31281,4
7000,78268,37301,4
8000,90953,43491,4
9000,103823,49412,4
10000,116993,55926,4
11000,130124,62086,4
12000,143378,67993,4
13000,156738,74490,4
14000,170508,81559,4
15000,184198,87638,4
16000,197817,94635,4
17000,211795,100956,4
18000,225736,107582,4
19000,239917,115258,4
20000,253763,121184,4
21000,267833,127965,4
22000,282226,135165,4
23000,296685,141996,4
24000,310856,148978,4
25000,325081,156338,4
26000,339588,162639,4
27000,354374,169268,4
28000,368790,176298,4
29000,383272,183517,4
30000,398302,190899,4
31000,412825,198317,4
32000,427801,204831,4
33000,442699,211248,4
34000,457416,218485,4
35000,472259,226366,4
36000,487391,232269,4
37000,502478,240816,4
38000,517255,248162,4
39000,532578,256489,4
40000,547428,263314,4
41000,562732,269940,4
42000,577801,276686,4
43000,593213,284805,4
44000,608528,292584,4
45000,624078,297833,4
46000,639209,307165,4
47000,654428,315501,4
48000,669502,322982,4
49000,685090,329236,4
50000,700563,337449,4
1000,8339,3881,5
2000,18726,8814,5
3000,29913,14171,5
4000,41468,19568,5
5000,53426,25620,5
