n,c,s,trial
100,355,163,1
200,867,363,1
300,1369,476,1
400,952,558,1
500,1253,774,1
600,3211,1356,1
700,1872,852,1
800,1977,1110,1
900,3028,981,1
1000,3201,1104,1
1100,2378,1087,1
1200,3037,1599,1
1300,2739,1308,1
1400,4364,2197,1
1500,3922,2305,1
1600,3432,1940,1
1700,7357,3702,1
1800,4032,2556,1
1900,7825,5468,1
2000,7727,2782,1
2100,3887,1282,1
2200,6900,4398,1
2300,6683,2957,1
2400,6732,4813,1
2500,6679,4135,1
2600,16028,8751,1
2700,12927,3883,1
2800,14135,8127,1
2900,6745,3802,1
3000,5619,2879,1
3100,9843,5273,1
3200,8834,4454,1
3300,3918,556,1
3400,9615,5685,1
3500,11656,5262,1
3600,6710,3600,1
3700,9665,4361,1
3800,9240,4120,1
3900,8202,4424,1
4000,9455,4215,1
4100,9754,4556,1
4200,9016,4768,1
4300,18168,13393,1
4400,11758,5235,1
4500,11093,2990,1
4600,15486,7864,1
4700,31723,14763,1
4800,12829,5218,1
4900,8225,3238,1
5000,20345,9858,1
5100,10861,5389,1
5200,9260,5389,1
5300,22575,13314,1
5400,21419,9799,1
5500,11010,5685,1
5600,17402,7492,1
5700,15513,9828,1
5800,9210,6312,1
5900,21348,5812,1
6000,22347,13217,1
6100,19985,9432,1
6200,7955,2034,1
6300,14461,9137,1
6400,17530,8408,1
6500,11928,6828,1
6600,27752,14913,1
6700,12799,2281,1
6800,17567,7286,1
6900,11007,6960,1
7000,16800,12490,1
7100,20429,9219,1
7200,19621,10390,1
7300,24115,11103,1
7400,28530,17820,1
7500,16174,8731,1
7600,34540,11469,1
7700,28863,10382,1
7800,14843,5401,1
7900,24404,13518,1
8000,18907,8648,1
8100,13521,4974,1
8200,35014,15318,1
8300,21455,11474,1
8400,28085,13425,1
8500,19983,5210,1
8600,13845,9238,1
8700,47709,16182,1
8800,33598,11734,1
8900,19457,9628,1
9000,19633,13372,1
9100,26362,13043,1
9200,20721,9079,1
9300,52631,24317,1
9400,32766,13088,1
9500,23038,13544,1
9600,50850,25777,1
9700,37282,18950,1
9800,34727,15055,1
9900,21944,11395,1
10000,25781,15634,1
10100,28971,11044,1
10200,18079,11069,1
10300,54953,26974,1
10400,15401,5063,1
10500,48243,13100,1
10600,47470,28139,1
10700,24822,14913,1
10800,55217,28083,1
10900,40402,25026,1
11000,45449,28142,1
11100,43648,23317,1
11200,27191,17118,1
11300,49335,21083,1
11400,25156,12771,1
11500,37272,17732,1
11600,32014,11213,1
11700,42656,11023,1
11800,57061,46286,1
11900,17655,13597,1
12000,41361,20699,1
12100,24063,11497,1
12200,35358,17764,1
12300,49777,31533,1
12400,40539,25546,1
12500,37731,28803,1
12600,33962,20819,1
12700,46116,15837,1
12800,40951,15824,1
12900,36830,30054,1
13000,37938,20061,1
13100,38140,13448,1
13200,21838,14493,1
13300,44949,28165,1
13400,22979,13272,1
13500,59544,26910,1
13600,28842,11894,1
13700,49739,18190,1
13800,26757,18099,1
13900,35345,15585,1
14000,79958,35347,1
14100,36248,22378,1
14200,58199,34478,1
14300,40021,25934,1
14400,41955,21191,1
14500,58462,21004,1
14600,38274,22573,1
14700,46390,19689,1
14800,25178,13597,1
14900,40497,24252,1
15000,40653,18760,1
15100,38849,21090,1
15200,36657,18738,1
15300,59644,30708,1
15400,35472,19525,1
15500,60295,31177,1
15600,92974,42003,1
15700,46436,24309,1
15800,53543,30773,1
15900,24233,8161,1
16000,22841,16416,1
16100,48521,35569,1
16200,33715,22350,1
16300,37371,24785,1
16400,61767,28043,1
16500,68514,30545,1
16600,42057,25412,1
16700,73283,38533,1
16800,66596,17963,1
16900,38914,22073,1
17000,35461,17159,1
17100,78691,36397,1
17200,63029,35763,1
17300,56528,26302,1
17400,58029,23888,1
17500,39268,20893,1
17600,72023,34276,1
17700,92494,61216,1
17800,32712,13148,1
17900,43459,18169,1
18000,65053,22069,1
18100,43701,24634,1
18200,52253,31750,1
18300,39562,25861,1
18400,47005,20930,1
18500,34983,19805,1
18600,92738,47253,1
18700,52882,29563,1
18800,30813,16166,1
18900,59919,36895,1
19000,39077,19951,1
19100,64087,41548,1
19200,25470,5828,1
19300,50348,33268,1
19400,64577,37395,1
19500,47267,27634,1
19600,65980,30182,1
19700,59802,24893,1
19800,95004,35757,1
19900,93966,42005,1
20000,73035,30851,1
20100,68699,25162,1
20200,69565,33405,1
20300,66114,40365,1
20400,25382,6259,1
20500,50607,16847,1
20600,58248,14956,1
20700,55149,16707,1
20800,84544,39256,1
20900,73557,51199,1
21000,83842,44388,1
21100,79740,56827,1
21200,48405,22933,1
21300,63329,21558,1
21400,121065,93862,1
21500,105197,73475,1
21600,54128,32219,1
21700,40980,17479,1
21800,29097,6317,1
21900,72464,22077,1
22000,44193,29172,1
22100,80510,42145,1
22200,34290,12984,1
22300,59788,21782,1
22400,50907,28060,1
22500,80140,47495,1
22600,70811,22793,1
22700,49836,28243,1
22800,103964,33361,1
22900,45838,23926,1
23000,60517,28913,1
23100,72517,29144,1
23200,65785,18755,1
23300,51026,20114,1
23400,119278,46356,1
23500,48531,30856,1
23600,61613,39651,1
23700,70311,37931,1
23800,94485,38970,1
23900,64385,39322,1
24000,64799,41285,1
24100,119254,91553,1
24200,45717,20833,1
24300,89371,34937,1
24400,50663,24587,1
24500,88817,66838,1
24600,104115,46834,1
24700,48879,22473,1
24800,41540,27039,1
24900,92948,37093,1
25000,76279,37846,1
25100,55879,36779,1
25200,61165,29561,1
25300,81784,21754,1
25400,51027,33176,1
25500,131545,92537,1
25600,94398,52692,1
25700,70367,48052,1
25800,60305,23967,1
25900,69827,33325,1
26000,66851,27994,1
26100,107087,61990,1
26200,82793,51076,1
26300,89253,36472,1
26400,26623,229,1
26500,123717,66648,1
26600,27061,674,1
26700,48676,15353,1
26800,46940,17344,1
26900,40936,13488,1
27000,80382,41784,1
27100,135825,70042,1
27200,78846,40419,1
27300,117491,43859,1
27400,69440,30504,1
27500,155942,113295,1
27600,88836,59367,1
27700,82472,43700,1
27800,120912,66536,1
27900,71858,36278,1
28000,85573,54130,1
28100,36148,31063,1
28200,97277,34231,1
28300,81449,46767,1
28400,67528,35066,1
28500,86638,32475,1
28600,83175,36592,1
28700,98390,72379,1
28800,129411,40414,1
28900,55637,23213,1
29000,99774,44061,1
29100,125900,72748,1
29200,81823,42989,1
29300,89870,28359,1
29400,79835,52399,1
29500,70680,27393,1
29600,45821,18380,1
29700,108819,37833,1
29800,88690,43955,1
29900,107943,63407,1
30000,67470,57694,1
30100,92060,55399,1
30200,143338,70380,1
30300,146652,54806,1
30400,194027,121065,1
30500,85553,38060,1
30600,61562,33553,1
30700,75895,31571,1
30800,87446,34228,1
30900,37111,31174,1
