n,c,s,trial
100,1060,280,1
200,2417,698,1
300,3518,968,1
400,4857,1362,1
500,5653,1696,1
600,6958,2045,1
700,9812,2698,1
800,10726,3058,1
900,10751,3257,1
1000,12584,3690,1
1100,14431,4078,1
1200,14427,4232,1
1300,15485,4645,1
1400,17832,5292,1
1500,19138,5444,1
1600,21781,6231,1
1700,20873,6073,1
1800,21184,6006,1
1900,22564,6525,1
2000,24131,6802,1
2100,25210,7237,1
2200,26739,7635,1
2300,28600,8770,1
2400,28058,7904,1
2500,27501,8293,1
2600,30356,8803,1
2700,31377,9148,1
2800,33278,9576,1
2900,32143,9519,1
3000,37797,10415,1
3100,38265,10530,1
3200,42025,11517,1
3300,42674,11690,1
3400,40713,11595,1
3500,40418,11776,1
3600,48373,13822,1
3700,43913,13139,1
3800,45874,13577,1
3900,44232,13135,1
4000,50764,14522,1
4100,47322,14022,1
4200,52920,15389,1
4300,48648,14525,1
4400,51873,15073,1
4500,54756,15509,1
4600,55916,16624,1
4700,60440,16914,1
4800,59218,17076,1
4900,61299,18015,1
5000,58761,17525,1
5100,57873,17642,1
5200,63786,18127,1
5300,65495,18798,1
5400,68446,18794,1
5500,66772,19092,1
5600,65338,18980,1
5700,65875,20043,1
5800,72142,20797,1
5900,70549,20386,1
6000,66682,19754,1
6100,74056,21451,1
6200,82192,23372,1
6300,79781,22301,1
6400,75066,21420,1
6500,80015,22282,1
6600,77233,22899,1
6700,78542,23011,1
6800,83332,22998,1
6900,77553,23491,1
7000,82298,23811,1
7100,82469,24303,1
7200,86198,24426,1
7300,86475,25360,1
7400,99310,27590,1
7500,91069,25212,1
7600,88996,25482,1
7700,85765,26047,1
7800,92831,26822,1
7900,103671,29454,1
8000,95468,28302,1
8100,100112,27986,1
8200,106108,29865,1
8300,98711,29182,1
8400,101416,29576,1
8500,105119,29797,1
8600,101808,29315,1
8700,97652,30047,1
8800,104804,30173,1
8900,105729,30697,1
9000,105918,30111,1
9100,106690,30976,1
9200,107251,31575,1
9300,103444,30213,1
9400,112298,31711,1
9500,112739,33320,1
9600,112924,32348,1
9700,112322,33228,1
9800,120217,34702,1
9900,110659,33720,1
10000,121140,34538,1
10100,126001,35284,1
10200,121282,36286,1
10300,125122,36824,1
10400,129933,36181,1
10500,133332,36754,1
10600,126780,37924,1
10700,122009,36509,1
10800,126697,37801,1
10900,136740,38530,1
11000,133383,38392,1
11100,128308,37933,1
11200,134958,38379,1
11300,131735,38720,1
11400,136565,39598,1
11500,144773,39567,1
11600,130005,40119,1
11700,138086,39463,1
11800,136249,40293,1
11900,142179,41356,1
12000,147426,41627,1
12100,145919,44399,1
12200,144901,42411,1
12300,140695,43061,1
12400,146005,43572,1
12500,140728,43426,1
12600,145817,43351,1
12700,147510,42656,1
12800,141785,43667,1
12900,153115,43930,1
13000,164302,46400,1
13100,157182,45438,1
13200,156959,45186,1
13300,152478,44043,1
13400,162840,45214,1
13500,152396,46175,1
13600,161541,45783,1
13700,154589,46565,1
13800,157240,46736,1
13900,165016,46912,1
14000,163825,47121,1
14100,177310,49092,1
14200,162036,48794,1
14300,172500,48764,1
14400,166609,49278,1
14500,166175,48757,1
14600,158334,49178,1
14700,182948,50183,1
14800,173541,50203,1
14900,187073,52930,1
15000,177623,51353,1
15100,175845,51817,1
15200,199509,59953,1
15300,177092,51827,1
15400,184112,51772,1
15500,191159,54179,1
15600,181572,53277,1
15700,189798,56095,1
15800,189663,58029,1
15900,176382,53094,1
16000,191367,57413,1
16100,186723,55447,1
16200,197513,56411,1
16300,220702,64105,1
16400,184699,55900,1
16500,188157,58185,1
16600,192207,58125,1
16700,205707,58495,1
16800,191403,58229,1
16900,195735,57757,1
17000,207808,58330,1
17100,224157,63166,1
17200,206011,59009,1
17300,207411,59719,1
17400,220335,61757,1
17500,213534,59895,1
17600,217416,63111,1
17700,217884,61182,1
17800,225290,62293,1
17900,215408,63208,1
18000,218157,62437,1
18100,226993,62318,1
18200,224266,65971,1
18300,227895,63274,1
18400,235900,66452,1
18500,226373,64432,1
18600,216940,62854,1
18700,218458,63642,1
18800,221551,64786,1
18900,221488,65650,1
19000,241540,70701,1
19100,232026,66296,1
19200,239264,69104,1
19300,224312,69025,1
19400,251502,72018,1
19500,244778,68190,1
19600,262669,74803,1
