n,c,s,trial
1000,3208,1054,1
2000,5140,2106,1
3000,10906,3187,1
4000,12458,4140,1
5000,15418,5288,1
6000,20593,6083,1
7000,24835,7224,1
8000,20179,8282,1
9000,26676,10033,1
10000,35313,10010,1
11000,28737,11371,1
12000,35605,12121,1
13000,36248,13372,1
14000,39944,13915,1
15000,51378,15254,1
16000,44323,16350,1
17000,63447,21383,1
18000,61262,21463,1
19000,63217,19095,1
20000,67746,20197,1
21000,67312,21441,1
22000,73290,22250,1
23000,58511,23282,1
24000,77083,24274,1
25000,86438,25072,1
26000,86879,26798,1
27000,64174,27061,1
28000,92262,27760,1
29000,106644,29608,1
30000,84703,30803,1
31000,82649,31495,1
32000,90799,32436,1
33000,111056,33954,1
34000,123323,34177,1
35000,91410,35444,1
36000,125914,36330,1
37000,132261,37022,1
38000,104612,38316,1
39000,105898,39180,1
40000,128084,41663,1
41000,116622,41287,1
42000,148387,42635,1
43000,120865,43126,1
44000,143800,44218,1
45000,137138,45722,1
46000,144201,46413,1
47000,139220,47853,1
48000,147953,48252,1
49000,125245,49168,1
50000,142307,51340,1
1000,3157,1080,2
2000,5178,2060,2
3000,10458,3539,2
4000,10797,4182,2
5000,16550,5121,2
6000,18774,6098,2
7000,18537,7267,2
8000,20946,8125,2
9000,21066,9252,2
10000,24346,10058,2
11000,30705,11596,2
12000,43275,11555,2
13000,29102,13093,2
14000,43446,14505,2
15000,38280,15115,2
16000,51811,16154,2
17000,58621,17679,2
18000,56273,20759,2
19000,71875,19641,2
20000,71322,21074,2
21000,72906,21415,2
22000,78593,22947,2
23000,66000,23235,2
24000,77909,24396,2
25000,84489,25330,2
26000,72185,26286,2
27000,90485,27775,2
28000,89396,28211,2
29000,96280,30255,2
30000,97838,30713,2
31000,82572,31519,2
32000,109903,32422,2
33000,91273,33031,2
34000,94319,34987,2
35000,126847,35530,2
36000,94749,37298,2
37000,129261,37582,2
38000,114164,38431,2
39000,126417,40136,2
40000,111230,40010,2
41000,107686,42162,2
42000,126351,42593,2
43000,132108,44726,2
44000,127813,45769,2
45000,121492,45564,2
46000,161975,46927,2
47000,113237,47780,2
48000,135509,48456,2
49000,164222,48886,2
50000,138193,50449,2
1000,2861,1028,3
2000,6063,2010,3
3000,8755,3189,3
4000,12960,4017,3
5000,16675,5750,3
6000,20371,6059,3
7000,22202,7191,3
8000,20254,8129,3
