n=100, comparisons: 17.76
n=200, comparisons: 20.70
n=300, comparisons: 22.40
n=400, comparisons: 23.64
n=500, comparisons: 24.61
n=600, comparisons: 25.33
n=700, comparisons: 26.13
n=800, comparisons: 26.58
n=900, comparisons: 27.06
n=1000, comparisons: 27.59
n=1100, comparisons: 27.97
n=1200, comparisons: 28.31
n=1300, comparisons: 28.68
n=1400, comparisons: 28.98
n=1500, comparisons: 29.29
n=1600, comparisons: 29.56
n=1700, comparisons: 29.80
n=1800, comparisons: 30.07
n=1900, comparisons: 30.20
n=2000, comparisons: 30.59
n=2100, comparisons: 30.77
n=2200, comparisons: 30.91
n=2300, comparisons: 31.08
n=2400, comparisons: 31.38
n=2500, comparisons: 31.43
n=2600, comparisons: 31.69
n=2700, comparisons: 31.76
n=2800, comparisons: 31.97
n=2900, comparisons: 32.10
n=3000, comparisons: 32.30
n=3100, comparisons: 32.44
n=3200, comparisons: 32.55
n=3300, comparisons: 32.63
n=3400, comparisons: 32.82
n=3500, comparisons: 32.89
n=3600, comparisons: 33.06
n=3700, comparisons: 33.15
n=3800, comparisons: 33.28
n=3900, comparisons: 33.44
n=4000, comparisons: 33.57
n=4100, comparisons: 33.72
n=4200, comparisons: 33.72
n=4300, comparisons: 33.83
n=4400, comparisons: 33.92
n=4500, comparisons: 34.00
n=4600, comparisons: 34.15
n=4700, comparisons: 34.16
n=4800, comparisons: 34.28
n=4900, comparisons: 34.37
n=5000, comparisons: 34.45
n=5100, comparisons: 34.56
n=5200, comparisons: 34.64
n=5300, comparisons: 34.71
n=5400, comparisons: 34.77
n=5500, comparisons: 34.86
n=5600, comparisons: 34.94
n=5700, comparisons: 35.01
n=5800, comparisons: 35.09
n=5900, comparisons: 35.18
n=6000, comparisons: 35.27
n=6100, comparisons: 35.44
n=6200, comparisons: 35.45
n=6300, comparisons: 35.50
n=6400, comparisons: 35.53
n=6500, comparisons: 35.62
n=6600, comparisons: 35.65
n=6700, comparisons: 35.76
n=6800, comparisons: 35.78
n=6900, comparisons: 35.82
n=7000, comparisons: 35.91
n=7100, comparisons: 35.97
n=7200, comparisons: 36.04
n=7300, comparisons: 36.15
n=7400, comparisons: 36.16
n=7500, comparisons: 36.27
n=7600, comparisons: 36.29
n=7700, comparisons: 36.33
n=7800, comparisons: 36.39
n=7900, comparisons: 36.47
n=8000, comparisons: 36.55
n=8100, comparisons: 36.67
n=8200, comparisons: 36.73
n=8300, comparisons: 36.72
n=8400, comparisons: 36.75
n=8500, comparisons: 36.79
n=8600, comparisons: 36.84
n=8700, comparisons: 36.90
n=8800, comparisons: 36.95
n=8900, comparisons: 36.96
n=9000, comparisons: 37.02
n=9100, comparisons: 37.05
n=9200, comparisons: 37.14
n=9300, comparisons: 37.16
n=9400, comparisons: 37.18
n=9500, comparisons: 37.24
n=9600, comparisons: 37.28
n=9700, comparisons: 37.32
n=9800, comparisons: 37.38
n=9900, comparisons: 37.40
n=10000, comparisons: 37.47
